;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44821;1824년 헌법의 폐지와 중앙집중화에 화가 난 유카탄의 자유주의자들이 독립을 선언했습니다.;Angered by the abrogation of the 1824 Constitution and the centralization of government power in Mexico City, liberals in the Yucatan have declared their independence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44822;연방주 가입?;Join the United Provinces?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44822;멕시코 정부는 우리나라에게 접근해 연방 재편입을 시도할 것입니다. 살아남으려면 중앙아메리카 가입만이 유일한 희망입니다. 그럼 한번 해볼까요?;Eventually, the Mexican government will come after our country and seek to re-incorporate it into the federation. If we are to survive, joining the United Provinces of Central America may be our only hope. Shall we make the request?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44825;과달루페 이달고 조약;The Treaty of Guadalupe Hidalgo;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44825;수도가 미국의 수중에 들어갔으므로 협상할 수밖에 없을 것 같습니다. 미국이 제의한 협상 조건은 다음과 같습니다. 관계 정상화, 부채 탕감, 그리고 1,500만 달러... 이들 모두 미국이 영유권을 주장하는 북방 영토 전역을 할양하는 대가입니다. 만약 지금 거절한다면, 미국은 자신들이 원하는 것을 얻을 때까지 전쟁을 수년간 더 지속할지도 모릅니다.;With our capital under American control, it seems we have little choice but to negotiate. The Americans have offered us a deal: the normalization of relations, the forgiveness of our debt and the payment of a great deal of money... all in exchange for a cession of all the northern territories currently claimed by their country. If we refuse, it may mean many years more of war for us until these Americans get what they want.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44826;$FROMCOUNTRY$의 과달루페 이달고 조약 동의;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44826;$FROMCOUNTRY$이(가) 미국이 영유권을 주장한 우리 영토를 양도한다는 내용을 담은 과달루페 이달고 조약에 서명했습니다. 이제 양국 관계를 정상화할 수 있습니다.;$FROMCOUNTRY$ has signed the Treaty of Guadalupe Hidalgo, ceding all American-claimed territory to our control. For now, the relations between our two countries can return to normal.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44827;$FROMCOUNTRY$의 과달루페 이달고 조약 거부;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44827;$FROMCOUNTRY$이(가) 미국이 영유권을 주장한 우리 영토를 양도한다는 내용을 담은 과달루페 이달고 조약을 거부했습니다. 이 판단은 그들에게 별로 좋지 못할 겁니다.;Despite having them over the figurative barrel, the $FROMCOUNTRY$ government has refused to capitulate to our demands. So much the worse for them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44830;막시밀리안 황제 처형;Execution of Emperor Maximilian;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44830;막시밀리안 멕시코 황제는 지금까지 대중의 지지를 받은 적이 없습니다. 베니토 후아레스가 이끄는 반군이 그를 붙잡았으므로, 그의 통치는 끝난 것 같습니다. 반군을 황제를 군법회의에 회부하고 총살형에 처한지 불과 며칠 만에 새 공화국을 수립했습니다. 베니토 후아레스는 반란을 전후해 멕시코의 대통령직을 맡아왔습니다.;Emperor Maximilian has never enjoyed popular support in Mexico, and now that insurgents led by Benito Ju?ez have captured him it seems his reign has come to an end. Court-martialed and executed by a firing squad, the new republic was declared only days after his death. Benito Ju?ez has assumed the role of President of Mexico.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44835;툭스테펙 계획;The Plan of Tuxtepec;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44835;멕시코의 장군이자 영웅으로 여겨지는 포르피리오 디아스가 군사정변을 통해 멕시코 민주정부를 전복했습니다. 몇몇 군 장교들과 비밀리에 계획해 오악사카에서 결성한 이 단체는 세바스티안 레르도 데 테하다의 대통령직을 인정하지 않고 디아스를 군사적으로 후원해 독재자로 세웠습니다.;Porfirio D?z, General of Mexico and considered a hero by some, has overthrown the democratic government of Mexico in a military coup. Planned in secret with several military officers and announced in Oaxaca, it has disavowed the presidency of Sebasti? Lerdo de Tejada and installed Diaz as a military-backed dictator.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44840;산타 안나 포획;Santa Anna Captured!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44840;멕시코의 지도자인 안토니오 데 산타 안나 장군이 붙잡혔습니다. 시골을 배회하며 멕시코로 귀환하려다 발각된 그는 텍사스의 한 교도소에 수감당해 협상을 강요당했습니다. 지금 그에게 평화조약에 동의하도록 강요할 수 있습니다. 비록 많은 사람들이 산타 안나가 강압에 의해 정해진 조건에 동의할 확률을 경미하게 여기더라도, 그것만이 압도적인 승산에 대한 유일한 희망일지도 모릅니다. 최소한 그들의 지도자에게 가해진 굴욕은 멕시코 정부에 금방 회복하지 못할 타격을 줄 것입니다.;In a surprise development, the leader of Mexico -- General Antonio de Santa Anna himself -- has been captured. Found running through the countryside, attempting to escape back to Mexico, he has been imprisoned in a Texan jail and forced to negotiate. We can force the man to agree to a peace treaty -- even though many consider the odds of Santa Anna's own country agreeing to terms exacted under duress to be slight, it may be our only hope against overwhelming odds. At the very least, the humiliation dealt against their leader will be a blow against the Mexican government and one from which they will not soon recover.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTDESC44841;텍사스 영내에서 활동하던 산타 안나 장군이 군부대와 떨어진 상태에서 멕시코로 귀환하려다 붙잡히면서 멕시코의 명성에 굴욕적인 타격을 입혔습니다. 그는 감옥에 있는 동안 자신의 안전한 송환을 대가로 텍사스의 독립을 인정하는 일련의 조약에 서명했습니다. 지금 우리는 한가지 질문에 직면했습니다. 조약은 가치가 없지만, 조약들을 완전히 무시하면 미국에게 개입할 명분을 줄 수도 있습니다. 뭐 어느 쪽이든 한가지 사실은 확실합니다. 이 실패한 설계자인 산타 안나의 집권은 끝났습니다.;In a humiliating blow to Mexico's prestige, General Santa Anna has been captured within Texan territory -- separated from our army and found wandering the countryside in an attempt to return to Mexico. While imprisoned, he agreed to a series of treaties which recognized Texan independence among other guarantees... all in exchange for his safe return. We are now faced with a question: while the treaties are worthless, disregarding them completely could give the Americans a cause to intervene. Either way, one thing is certain: as the architect of this fiasco, Santa Anna's time in power is done.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME44842;벨라스코 조약;The Treaties of Velasco;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44842;멕시코에게는 포로인 산나아나 장군이 서명한 조약을 거부할 충분한 이유가 있었지만, 텍사스와의 전쟁을 계속하겠다는 의지는 약했습니다. 그들은 산타 안나 송환을 대가로 텍사스의 독립을 공인하기로 합의했습니다. 지금 멕시코와의 전쟁이 끝났다는 뜻입니다. 물론 그 평화가 계속될지는 두고 봐야 합니다.;While Mexico had every reason to refute the treaties signed by Santa Anna, it seems their willingness to continue the war against Texas has waned. They will not embarrass themselves further, and have agreed to let us remain free in exchange for Santa Anna's return. For the moment, this means the war with Mexico is over... whether that peace will continue remains to be seen.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44843;멕시코와의 휴전;Ceasefire With Mexico;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44843;예상대로 멕시코 정부는 벨라스코 조약과 산타 안나 장군의 송환 협상을 거부했습니다. 하지만 그들은 이 조약들이 미국에게 개입할 구실을 주기에 충분히 타당하다는 사실을 두려워했고, 얼마 지나지 않아 휴전을 요청해왔습니다. 그것이 얼마나 지속될지는 알려지지 않았지만, 현재 텍사스는 휴식을 취하고 있습니다.;As expected, the Mexican government has refuted the Treaties of Velasco and refused to negotiate for Santa Anna's return. They are, however, evidently afraid that the treaties have enough validity that ignoring them would give the Americans an excuse to intervene -- and have called for a ceasefire. How long it will last is unknown, but for the moment Texas has its respite.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME44844;멕시코의 조약 무시;Mexico Ignores the Treaties;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44844;뜻밖에도 멕시코가 벨라스코 조약의 조건을 무시했습니다. 그들은 산타 안나 장군이 강압에 의해 동의했을 뿐이라고 주장했습니다. 사실, 산타 안나는 불안정한 입장에도 불구하고 자신의 주장을 재빨리 뒷받침해왔습니다. 그 안의 밝은 빛은 무엇일까요? 그것이 바로 미국 정부가 전쟁에 개입하기를 원했던 이유일 수도 있습니다.;Not unexpectedly, Mexico has ignored the terms of the Treaties of Velasco -- claiming that Santa Anna only agreed to them under duress. Indeed, Santa Anna himself has been quick to back up their claim even despite his precarious position. The one bright light in this? It might be the cause the American government has been looking for to intervene in our war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44845;멕시코와의 전쟁!;War With Mexico!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44845;산타 안나 장군과 벨라스코 조약을 맺었음에도 불구하고, 멕시코 대통령은 포로인 산타 안나 장군에게는 휴전 조약을 맥을 권리가 없다며 전쟁을 지속해나갔습니다. 정부 내에서도 많은이들은 멕시코가 기대에 부응하리라고는 결코 기대하지 않았습니다. 그들은 이것이 미국이 개입하기에 충분한 원인이 될 것이라고 주장합니다. 물론 그런 개입이 호랑이를 불러들이는 일일수도 있습니다. 그러나 다른 선택지가 있나요?;Despite the assurances supposedly offered by the Treaties of Velasco, we once again find ourselves at war with Mexico. The ceasefire is, it seems, now over. While many in our government never expected Mexico to live up to the terms of the treaties anyhow, they do suggest that this might be enough cause for the Americans to intervene. Such an intervention would, of course, be inviting the wolves through the front door?but do we have any other choice?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME44846;텍사스 외교관;The Texan Diplomat;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44846;멕시코 변경인 텍사스의 한 외교관이 워싱턴에 도착했습니다. 멕시코 정부에 의해 토지를 제공받았고, 그 후 그들의 폭정에 반기를 든 남부인들이 정착했습니다. 그 외교관은 멕시코와 조약을 계획했다고 주장하며 미국의 개입을 요청했습니다. 물론 우리측은 즉각 거부했습니다. 땅이 불안한 것 같지 않나요? 하지만 그렇다고 그들에게 등을 돌려야 할까요?;A diplomat has arrived in Washington from Texas -- a part of the Mexican frontier, settled by southerners who had been offered land by the Mexican government and who then rebelled against its tyranny. The diplomat has asked for American intervention in their war, claiming that a treaty had been worked out with Mexico which they then of course immediately refuted. It seems like shaky grounds?but do we turn our backs on them?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME45102;트리니타리아;La Trinitaria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC45102;후안 파블로 두아르테는 '트리니타리아'라는 비밀결사를 설립해 아이티와 다른 외세로부터 산토도밍고의 완전한 독립을 추구하고 있습니다. 많은 카리브인들은 이 남자를 선지자라 부르며, 그의 생각은 이스파니올라 동부에서 큰 인기를 얻고 있습니다.;Juan Pablo Duarte has founded a secret society called 'La Trinitaria', seeking complete independence of Santo Domingo from Haiti and other foreign powers. Many Caribenos are calling the man a visionary, and his ideas are gaining great popularity in eastern Hispaniola.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME46303;파라포스 전쟁;;War of the Farrapos;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC46303;포르투알레그레는 다시 한 번 브라질의 지배를 받고 있습니다. 그러나 가우초(남아메리카의 카우보이)들은 왕실의 부당한 통치에 대한 반항을 계속하겠다고 약속했습니다. 앞으로 이 지역을 평온하게 유지하기가 어려울 수 있습니다.;Porto Alegre is under Brazilian control once again. The gauchos, however, have promised to continue their rebellion against what they consider unfair rule from the throne. It may prove difficult in the coming years to keep the region calm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME46304;솔라노의 야망;Solano's Ambition;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC46304;파라과이의 독재자 솔라노 로페스가 남동쪽의 브라질 땅으로 시선을 돌렸습니다. 대서양과 직접 접하는 것은 브라질의 의중에 좌우되는 강 사용 허가에 비하면 큰 도움을 줄 것입니다. 어쩌면 본격적으로 파라과이의 몸을 풀고 우리만의 제국을 세워야 할 때인지도 모릅니다.;The dictator of Paraguay, Solano Lopez, has turned his eye towards Brazilian lands to the southeast. Direct access to the Atlantic Ocean would be of great benefit to the country, rather than relying on Uruguayan permission to use the river-- permission which might not always be forthcoming, thanks to Brazilian interference. Perhaps it is time to flex Paraguay's muscle and establish an empire of our own?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME46605;아르헨티나 연방;The Argentine Confederation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME46610;입헌 요구;The Constitutional Demand;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC46610;"1831년 1월 4일 연안 지방의 4자 협약에 따라 현재 부에노스아이레스 주지사 겸 총사령관에게 위임한 상태인 영토주권에 내재한 권한에 대한 행사를 재개하는 것이 아르헨티나 연방의 대외관계와 평화 및 전쟁에 대해 일반적인 방향을 원하는 엔트레리오스 사람들의 의지다."\n\n지금까지 부에노스아이레스 주지사 후안 마누엘 데 로사스는 정부의 모든 권력을 쥔 채 연방의 모든 대외관계를 행사했습니다. 또 매년마다 기각될 것을 알면서도 사의를 표명했습니다. 우르키사의 성명서는 공화국의 헌법을 공식화할 때까지 타국과의 무역 및 대외관계 수행능력을 재개한 엔트레리오스 지방이 로사스의 사임을 효과적으로 수용한 것입니다. 인접국 정부들이 우르키사를 지지할지도 모릅니다. 그리고 그가 반란을 일으키면, 그들이 그를 대신해 개입할 것입니다.;"It is the will of the entrerriano people to resume the exercise of the powers inherent in its territorial sovereignty and currently delegated to His Excellency the Governor and Captain General of Buenos Aires, for the cultivation of external relations and general direction of peace and war of the Argentine Confederation, under the quadrilateral treaty of the coastal provinces dated January 4, 1831." Until now, the governor of Buenos Aires, Juan Manuel de Rosas, had all the government power and exercised all external relations for the Confederation. Each year he presented his resignation, knowing it would be rejected. Urquiza's statement was the effective acceptance of the resignation of Rosas by the Province of Entre Rios, who was resuming its ability to conduct its trade and external relations with other nations until such constitution of a republic was formalized. Neighboring governments might support Urquiza, and should he rise up in rebellion, they will intervene on his behalf.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME46611;$YEAR$년 아르헨티나 헌법;The Argentine Constitution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC46611;로사스가 엔트레리오스의 반란을 진압하는데 실패하자, 우르키사 장군은 임시로 정부를 장악했습니다. 산타페에서 자유주의자들과 만난 그는 아르헨티나 헌법을 개헌했습니다. 전 주지사이자 대통령인 후안 마누엘 데 로사스는 영국으로 강제추방당했고, 부에노스아이레스는 이 사태에 불쾌해하며, 저항을 맹세했습니다. 부에노스아이레스를 제압하는 것은 바르톨로메 미트레의 몫이었습니다.;With Rosas unable to defeat the Entre Rios rebellion, General Urquiza has assumed temporary control of the government. Meeting with liberals in Santa Fe, they have drawn up a new constitution to the Argentine Constitution. The province of Buenos Aires is displeased and vows to resist while the former Governor and President, Juan Manuel de Rosas, was forced to flee the country and is now exiled in the United Kingdom. Bartolome Mitre assumed Buenos Aires in his stead.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME46612;로사스 승리;Rosas is Victorious;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC46612;아르헨티나 연방군의 반란은 진압당했고, 우르키사 장군과 그의 지지자들은 모두 붙잡혀 처형당했습니다. 아르헨티나 전역이 부에노스아이레스의 의지에 복종하며, 로사스는 아르헨티나의 운명을 심판할 유일한 판사 자리에 올랐습니다.;The rebellion in the provinces of the Argentine confederation have been put down, and both General Urquiza and his supporters have been captured and executed. The Argentine provinces have submitted to the will of Buenos Aires, and Rosas reigns supreme, the sole judge on the fate of Argentina.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME49501;칼마르 동맹 재결성;Reforming the Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49501;$FROMCOUNTRY$ 정부 구성원들이 우리에게 접근해 칼마르 연합의 부활을 제안했습니다. 아직까지는 스칸디나비아 국가들이 궁극적인 연합을 위해 협력해야 한다는 제안일 뿐입니다. 만약 이에 동의하지 않는다면 여기서 그 생각이 사라질 수도 있으며, $FROMCOUNTRY$은(는) 치명적인 모욕을 당할 것입니다. 하지만 스칸디나비아인들이 유럽에서 정당한 자리를 차지한다고 가정하면, 그들의 제안에도 장점이 있을 것입니다.;Members of the $FROMCOUNTRY$ government have approached us, suggesting that the Kalmar Union must be resurrected. For the moment, this is simply an idea, a suggestion that the Scandinavian nations should work together towards an eventual union. If we disagree, it's possible that the idea dies here. If we don't, $FROMCOUNTRY$ might be mortally insulted. If Scandinavians are to take their rightful place in Europe, however, perhaps there is merit in their proposal.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,
EVTOPTA49501;왕실끼리의 결혼이 해롭지는 않을 것 같다.;A royal marriage cannot hurt, I suppose.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTOPTB49501;가입할 이유가 많지는 않아 보인다.;We see little reason to join such a union.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME49502;$FROMCOUNTRY$의 칼마르 동맹 제안 거부!;$FROMCOUNTRY$ Has Refused!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49502;$FROMCOUNTRY$이(가) $COUNTRY$의 제안을 거부했습니다. 그들을 강제로 참가시키느냐 연합을 포기하느냐는 우리 손에 달려있습니다.;$FROMCOUNTRY$ has refused the $COUNTRY$ proposal. It is now in our hands whether to let the Union die here and now, or force $FROMCOUNTRY$  to join us whether they like it or not.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTOPTA49502;아, 그럼 끝난 것 같다.;Oh well, I guess that's over then.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTOPTB49502;우리 군대가 그들 수도로 들이닥치면 어떻게 생각하려나?;We'll see how they feel with an army in their capital...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME49503;관세동맹 결성?;Form a Customs Union?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49503;$FROMCOUNTRY$이(가) 스칸디나비아 국가끼리의 무역에서 관세를 철폐하자는 방안을 제기했습니다.;$FROMCOUNTRY$ has proposed the next logical step in our mutual cooperation: a customs union between $COUNTRY$ and $FROMCOUNTRY$, indeed all of Scandinavia, which would remove the restrictions on trade between us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTOPTA49503;딱히 해롭지 않을 것 같다.;A customs union cannot hurt, I suppose.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTOPTB49503;너무 지나치다.;This is going too far.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME49504;정치적 연합 결성?;Form a Political Union?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49504;$FROMCOUNTRY$이(가) 스칸디나비아의 안보를 위해 자신들과 정치적 연합을 하자고 제안해왔습니다.;$FROMCOUNTRY$ has suggested a political union between their country and $COUNTRY$, arguing that this is the next logical step for Scandinavia's security.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTOPTA49504;논리적인 것 같다.;It seems like a logical argument.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB49504;너무 지나치다.;This is going too far.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME49505;노르웨이 독립 요청;Norway Asks For Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49505;노르웨이 신민들은 자신들의 독립 왕국을 건설하려 합니다. 지금 이들의 독립을 거부한다면 노르웨이를 돕는 유럽 강대국들을 분노케 할 수 있습니다.;Your Norwegian subjects seek to establish their own independent kingdom. The other European powers support their independence, and will be upset if we refuse.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME49506;노르웨이 독립 요구;Norway Demands Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49506;친절하게 요청할 때는 지나갔습니다. 독립이 아니면 전쟁 뿐입니다.;This time they are not asking nicely. Independence or war.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME49507;핀란드 독립;Finnish Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49507;핀란드 신민들은 자신들만의 국가를 건설하려 합니다.;Your Finnish subjects seek to form their own nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME49508;덴마크 독립;Danish Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49508;덴마크 신민들이 우리나라를 끝장내려 합니다.;Your Danish subjects wish to end our union.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME49509;칼마르의 지도부;The Leadership of Kalmar;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49509;스칸디나비아에서 $FROMCOUNTRY$의 영향력이 커지면서, 연합의 중심도 그들에게로 옮겨갔습니다.;As our power in Scandinavia wanes and $FROMCOUNTRY$ influence grows, so does the focus of the union move to them.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME49510;핀란드 대공국;The Grand Duchy of Finland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC49510;러시아화 시도에 대한 핀란드 신민들의 저항이 커지고 있습니다. 정부 내에서 많은이들이 핀란드 의회의 복구와 제한적 자치정부 수립만이 유일한 해결책이라고 믿고 있습니다. 하지만, 이는 대외에 핀란드를 국가로 인정하는 것으로 보일 것이며, 앞으로 평화로운 방법을 통한 핀란드 러시아화 시도 가능성을 영구적으로 차단할 것입니다.;Our subjects in Finland have become restless and resistance against attempts of Russification have been growing. Many within the Russian government believe that a restoration of the Diet of Finland and limited self-government for their nation is the only answer. This, however, will be seen as a recognition of Finland as a country and will block any future attempts to try to Russify Finland through peaceful means.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC60140;보다 자유주의적인 정권이 우리나라를 확고히 장악한 지금, 그들은 지금이 제헌회의의 적기라고 느끼고 있습니다. 그들은 이 새로운 회의를 통해 우리나라의 새 길을 형성하려 합니다.;With a more liberal regime firmly in control of our country, they feel that now is the time for a constitutional convention. Everyone's views, well at least everyone who truly matters, will be represented in this new gathering to shape the path of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVTNAME60160;국가의 탄생;Birth of a Nation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC60160;오늘 군중들이 $COUNTRY$의 독립을 축하하기 위해 $CAPITAL$에 모였습니다. 현대사회에서 독립은 한순간에 덧없는 재로 변해버릴지도 모릅니다. 그러기에 독립국일 때 독립을 만끽해야 합니다. 오늘 모든 집이 창문이나 구석에 $COUNTRY$ 국기를 내걸었으며, 환호하는 시민들은 $COUNTRY$ 국가를 불렀습니다. 이들 모두 더 나은 내일을 말해주는 진심 어린 테마곡입니다.; Today crowds gathered in $CAPITAL$ to celebrate $COUNTRY$'s independence. In the modern world, independence can be a fleeting thing-- so we must enjoy it while we can. Today, $COUNTRY_ADJ$ flags wave from every window and corner, and jubilant citizens sing the $COUNTRY_ADJ$ anthem. It is a heartfelt theme that speaks of better tomorrows.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME80103;암반의 요구;The Amban's Demand;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC80103;$FROMCOUNTRY$ 암반(청나라가 번부, 즉 비한족 거주지역인 티베트, 청해, 몽골, 신강에 파견한 고관)이 러시아와 $COUNTRY$ 영토의 일부도 포함해 할양하는 협정을 맺었다고 알려왔습니다. 이제 아무 언급 없이 넘겨야 합니다. 거절한다면 $FROMCOUNTRY$과(와) 러시아 모두와 전쟁을 해야 합니다.;The Amban, our Imperial representative from Peking and effectively the governor of $COUNTRY$, has informed our government that $FROMCOUNTRY$ has concluded a treaty with Russia -- a treaty that includes portions of $COUNTRY$ territory, with now must be handed over without comment. Should we refuse, we face war with $FROMCOUNTRY$ and Russia both.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME80110;베이징 조약;The Convention of Peking;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC80110;러시아에서 온 한 외교관이 격앙된 요구와 함께 $COUNTRY$에 입국했습니다. 그들은 거의 200년 전에 합의했던 동북쪽 국경을 재조정하기를 원합니다. 그들은, 동해 남쪽의 모든 항구에 접근하기를 바랍니다. 이는 다시말해 하이선와이 전역의 할양을 의미합니다. $FROMCOUNTRY$이(가) 주장하는 모든 영토는 우리와 우리 속국이 양도할 것입니다. 이는 필시 현재 우리의 약점을 이용한 사악한 위협입니다. 이를 수락함은 미래에 이러한 상황을 피하기 위해 그 지역의 속국들을 다시 통합해야 함을 의미합니다.;A diplomat from Russia has arrived in $COUNTRY$ with an infuriating demand: they wish to readjust the borders on our northeastern frontier, agreed upon almost two hundred years ago. They wish access to a southern port upon the Sea of Japan, meaning all of Haishenwai would be turned over to them. Any $FROMCOUNTRY$-claimed territory would be handed over by us and our vassals. This is surely a wicked threat, capitalizing on our current perceived weakness. Accepting it will also mean any of our vassals in the region will have to be integrated back into our country, to avoid this situation in the future.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME80111;둥간 바신;The Dungan Basin;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC80111;이제 먼 신강에서의 반란이 끝났으니, 누가 둥간 유역에 소유권을 가지냐는 의문이 다시 제기되는 것 같습니다. 카라탈 분지의 서쪽 반쪽을 사악한 러시아인들이 차지했으며, 나머지 반족인 알리의 동쪽도 지배하려 합니다. 평화롭게 분지를 포기해야 할까요? 아니면 $COUNTRY$의 명예를 걸고 싸워야 할까요?;Now that the rebellion in distant Xinjiang is finished, there appears to be some question as to who has ownership over the Dungan basin. The western half of the basin, in Qaratal, is occupied by the wicked Russians?but they wish control over the eastern half in Ili, as well. Should we surrender the basin peacefully, or fight for $COUNTRY_ADJ$ honor?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME80115;러시아의 보호령;The Russian Protectorate;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC80115;$COUNTRY$은(는) 앞뒤 생각 없이 우리를 짓누를 수 있는 두 강대국 사이에 맴도는 국가입니다. 러시아 외교관이 $CAPITAL$에 도착해, 러시아에 충성한다면 그 대가로 보호를 제공하겠다고 제안했습니다. 어떤이들은 중국의 침략 가능성을 고려해 심사숙고해야 한다고 생각합니다.;$COUNTRY$ is a nation hovering between two powers that could crush us without thought. A Russian diplomat has arrived in $CAPITAL$, offering us protection in return for our fealty. Considering the alternative is possible invasion by the Chinese, some think we should consider it.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
