CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AT_WAR_TENSION_DECAY;$COUNTRY$ 전시 상황: 쬨$VAL$쬦;$COUNTRY$ is at war: 쬨$VAL$쬦;$COUNTRY$ befindet sich im Krieg: 쬨$VAL$쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;두 국가의 여단 수 차이 > 쬨$VAL$쬦\n;Brigades comparison factor of two countries is at least 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;두 국가의 여단 수 차이 < 쬨$VAL$쬦\n;Brigades comparison factor of two countries is less than 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
CB_TOWARDS_US_DETECTED_3;쬨$CASUS$쬦 전쟁명분;쬨$CASUS$쬦 Casus Belli;Casus Belli 쬨$CASUS$쬦mithilfe des 쬨$CASUS$쬦 Casus Belli;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_CLOSE_WINDOW;예산 창 닫기;Closes budget window;Ferme la fen쬦re du budget;Schlie쬦 Haushaltfenster;;Cierra la ventana del presupuesto;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_CONSUMED_MILITARY;어제 군수품 소비 예상 비용:;Estimated cost of last day's Military goods consumption:;Co쬦 estim쬦de la consommation d'쬦uipements militaires du jour pr쬦쬦ent :;Gesch쬦zte Kosten f쬦 die gestrigen milit쬦ischen Verbrauchsg쬦er:;;Coste estimado del consumo de bienes militares del 쬦timo d쬦:;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_CONSUMED_OVERSEAS;해외유지비는 국가비축품으로 계산하며 내릴 수 없습니다.\n어제 해외상품 소비 예상치:;Estimated cost of last day's Overseas goods consumption:;Co쬦 estim쬦de la consommation de biens d'outre-mer du jour pr쬦쬦ent :;Gesch쬦zte Kosten f쬦 die gestrigen 쬦erseee-Verbrauchsg쬦er:;;Coste estimado del consumo de bienes extranjeros del 쬦timo d쬦:;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_COUNTRY;국가;Country;Pays;Land;;Pa쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_DAILY_BALANCE;일일 예상 잔고;Projected Daily Balance;Bilan quotidien pr쬦u;Voraussichtliche Tagesbilanz;;Balance diario previsto;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_DAILY_EXPENSES;일일 지출;Daily Expenses;D쬦enses quotidiennes;Tagesausgaben;;Gastos diarios;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_DAILY_INCOME;일일 수입;Daily Income;Revenus quotidiens;Tageseinnahmen;;Ingresos diarios;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_DEBT_DESC;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_DIPL_DESC;외교 및 평화조약을 통한 다양한 지출/소득;Various costs/income uncured though diplomacy or peace deals;Co쬦s/Revenus divers non sold쬦 par la diplomatie ou des accords de paix;Verschiedene Kosten/Einnahmen, die nicht von diplomatischen Aktionen oder Friedensabkommen egalisiert werden.;;Diversos costes/ingresos sin ajustar a pesar de la diplomacia o los tratados de paz;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_EDUCATION_DESC;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_EXPENSE_SLIDER_EDUCATION;교육비: 쬨$VAL$쬦� ;Education: 쬨$VAL$쬦;쬦ucation : 쬨$VAL$;Bildung: 쬨$VAL$쬦;;Educaci쬦: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_EXPORTS;국가비축품 판매: 쬨$VAL$쬦� ;National Stockpile Sales: 쬨$VAL$쬦;Ventes des r쬦erves nationales : 쬨$VAL$;Verk쬦fe aus Nationalvorrat: 쬨$VAL$쬦;;Ventas de la reserva nacional: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_GOLD;금: 쬨$VAL$쬦� ;Credit: 쬨$VAL$쬦;Or : 쬨$VAL$;Gold: 쬨$VAL$쬦;;Oro: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_GOLD_DESC;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_GOLD_INCOME_DESC;귀금속 수입;Income from issuing credit;Revenus des mines d'or;Einkommen von Goldminen;;Ingresos de las minas de oro;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_IMPORTS;국가비축품 매입: 쬨$VAL$쬦� ;National Stockpile Purchases: 쬨$VAL$쬦;Achats des r쬦erves nationales : 쬨$VAL$;K쬦fe f쬦 Nationalvorrat: 쬨$VAL$쬦;;Compras de la reserva nacional: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_INDUSTRIAL_SUBSIDIES;산업보조금;Industrial Subsidies;Subventions industrielles;Industriezusch쬦se;;Subsidios industriales;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_IND_SUP_DESC;공장이 원자재를 구매하거나 노동자들에게 봉급을 지급하는 비용을 국가가 대신 부담합니다.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_INTEREST;이자: 쬨$VAL$쬦� ;Interest: 쬨$VAL$쬦;Int쬦쬦s : 쬨$VAL$;Zinsen: 쬨$VAL$쬦;;Intereses: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_INTEREST_DESC;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_INTERNALLY_SOLD_STOCKPILE;건설계획에 필요한 비축품 판매: 쬨$VAL$쬦�;Stockpile sold to construction projects: 쬨$VAL$쬦;Stock vendu pour les projets de construction : 쬨$VAL$쬦;An Bauprojekte verkaufter Vorrat: 쬨$VAL$쬦;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_LOANS_GIVEN;제공한 차관;Loans Given;Emprunts accord쬦;Vergebene Darlehen;;Pr쬦tamos dados;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_LOANS_TAKEN;도입한 차관;Loans Taken;Emprunts souscrits;Aufgenommene Darlehen;;Pr쬦tamos recibidos;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_LOAN_CANT_REPAY;차관을 상환할 수 없습니다.;We have no money to pay back loans with;Nous n'avons pas les moyens de rembourser nos emprunts.;Uns fehlt es an Geld, die Darlehen zur쬦kzuzahlen an;;No tenemos dinero para pagar los pr쬦tamos;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_MILITARY_COST;군비;Military Costs;Co쬦s arm쬦;Milit쬦kosten;;Militares;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_MIL_COST_DESC;보급비;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_MIL_SPEND_DESC;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_NATIONAL_BANK_DESC;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_NATIONAL_STOCKPILE;국가비축품;National Stockpile;R쬦erves nationales;Nationaler Vorrat;;Reserva nacional;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_NAT_STOCK_DESC;비축품 구입에 쓰이는 비용입니다. 건설, 해군 보급품, 육군 보급품, 해외 유지비 지출을 포함합니다.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_NO_LOANS_TO_REPAY;차관을 도입하지 않았습니다.;We have no loans to pay back;Nous n'avons plus d'emprunts 쬦rembourser;Wir m쬦sen keine Darlehen zur쬦kzahlen;;No tenemos pr쬦tamos que devolver;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_OVERSEAS;해외유지비;Overseas maintenance;Maintenance outre-mer;쬦erseeunterhalt;;Ultramar;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_OVERSEAS_PROVINCES;해외 지역: 쬨$VALUE$쬦개;Number of overseas provinces: 쬨$VALUE$쬦;Nombre de provinces d'outre-mer : 쬨$VALUE$쬦;Anzahl von 쬦erseeregimentern: 쬨$VALUE$쬦;;N쬦ero de provincias extranjeras: 쬨$VALUE$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_REPAY_LOAN;차관 상환;Repay Loan;Rembourser l'emprunt;Darlehen tilgen;;Devolver pr쬦tamo;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_SLIDER_ADMINISTRATION;행정비: 쬨$VAL$쬦� ;Administration: 쬨$VAL$쬦;Administration : 쬨$VAL$;Verwaltung: 쬨$VAL$쬦;;Administraci쬦: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_SLIDER_MILITARY_SPENDING;군비: 쬨$VAL$쬦� ;Military Spending: 쬨$VAL$쬦;D쬦enses militaires : 쬨$VAL$;Wehretat: 쬨$VAL$쬦;;Gastos militares: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_SLIDER_SOCIAL_SPENDING;사회보장비: 쬨$VAL$쬦� ;Social Spending: 쬨$VAL$쬦;D쬦enses sociales : 쬨$VAL$;Sozialausgaben: 쬨$VAL$쬦;;Gastos sociales: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_SOCIAL_SPEND_DESC;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_STOCKPILE_YESTERDAYS;어제 비축품 구매:;Yesterdays purchases for stockpile:;Achats d'hier pour les r쬦erves :;Gestrige Vorratsk쬦fe: ;;Adquisiciones de ayer para la reserva nacional:;;;;;;;;x;;;;;;;;;;;;;;;;;
BUDGET_STRATA_NEED;쬨$VAL$쬦%가 $TYPE$을(를) 충족하고 있습니다.;쬨$VAL$쬦% are getting their $TYPE$;쬨$VAL$%쬦 re쬦ivent leurs $TYPE$;쬨$VAL$%쬦 decken $TYPE$;;쬨$VAL$쬦% reciben lo que necesitan ($TYPE$);;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_STRATA_NO_NEED;쬨$VAL$쬦%가 욕구를 충족하지 못하고 있습니다.;쬨$VAL$쬦% are getting none of their needs.;쬨$VAL$%쬦 n'ont aucun de leurs besoins satisfaits.;쬨$VAL$%쬦 bekommen nichts.;;쬨$VAL$쬦% no reciben nada de lo que necesitan.;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_SUPPLYCOSTS;보급비: 쬨$VAL$쬦� ;Supply Costs: 쬨$VAL$쬦;Frais d'approvisionnement : 쬨$VAL$;Versorgungskosten: 쬨$VAL$쬦;;Coste de suministros: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TAKE_LOAN;차관 도입;Take Loan;Souscrire un emprunt;Darlehen aufnehmen;;Pedir pr쬦tamo;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TARIFFS;관세;Tariffs;Droits de douane;Z쬦le;;Aranceles;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TARIFFS_MODIFIED;관세 효율: 쬨$PERC$%쬦;Effective tariffs: 쬨$PERC$%쬦;Droits de douane effectifs : 쬨$PERC$%쬦;Effektive Z쬦le: 쬨$PERC$%쬦;;Impuestos efectivos: 쬨$PERC$%쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TARIFF_DESC;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TAX;쬨$VAL$쬦;쬨$VAL$쬦;쬨$VAL$쬦;쬨$VAL$쬦;;쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TAX_EFFECT;실효세율: 쬨$VALUE$%쬦;Effective tax: 쬨$VALUE$%쬦;Imposition effective : 쬨$VALUE$%쬦;Effektiver Steuersatz: 쬨$VALUE$%쬦;;Impuesto efectivo: 쬨$VALUE$%쬦;;;;;;;;x;;;;;;;;;;;;;;;;;
BUDGET_TAX_EFFICIENCY;세금 효율: 쬨$VALUE$%쬦;Tax Efficiency: 쬨$VALUE$%쬦;Efficacit쬦fiscale : 쬨$VALUE$%쬦;Steuereffizienz: 쬨$VALUE$%쬦;;Eficacia impositiva: 쬨$VALUE$%쬦;;;;;;;;x;;;;;;;;;;;;;;;;;
BUDGET_TAX_MIDDLE;중류층 세금;Tax(Middle);Imp쬦s (classes moyennes);Steuern (Mittelschicht);;Impuestos (c. media);;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TAX_MIDDLE_DESC;중류층의 수입 중에서 어느정도를 세금으로 징수할지를 조정합니다. 세금이 너무 높으면 생활자금과 사업자금이 부족해집니다.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TAX_POOR;하류층 세금;Tax(Poor);Imp쬦s (classes d쬦avoris쬦s);Steuern (Unterschicht);;Impuestos (pobres);;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TAX_POOR_DESC;하류층의 소득 중에서 어느정도를 세금으로 징수할지를 조정합니다. 세금이 너무 높으면 생활자금이 부족해집니다.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TAX_RICH;상류층 세금;Tax(Rich);Imp쬦s (classes sup쬦ieures);Steuern (Oberschicht);;Impuestos (ricos);;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TAX_RICH_DESC;상류층의 수입 중에서 어느정도를 세금으로 징수할지를 조정합니다. 세금이 너무 높으면 건설 계획설에 투자할 여유가 없어집니다.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TECH_TAX;기술: 쬨$VAL$쬦%;From technology: 쬨$VAL$쬦%;Provenant de la technologie : 쬨$VAL$ %쬦;Aus Technologie: 쬨$VAL$쬦%;;De la tecnolog쬦: 쬨$VAL$쬦%;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TOTAL_DEBT;총부채;Total Debt;Dette totale;Gesamtschulden;;Total de deudas;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TOTAL_EXPENSE;총지출: 쬨$VAL$쬦� ;Total Expense: 쬨$VAL$쬦;D쬦enses totales : 쬨$VAL$;Gesamtausgaben: 쬨$VAL$쬦;;Gastos totales: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TOTAL_FUNDS;총자금;Total Funds;Fonds totaux;Gesamtmittel;;Total de fondos;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TOTAL_FUNDS_DESC;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_TOTAL_INCOME;총수입: 쬨$VAL$쬦� ;Total Income: 쬨$VAL$쬦;Revenus totaux : 쬨$VAL$;Gesamteinnahmen: 쬨$VAL$쬦;;Ingresos totales: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_VIEW_CRIME_FIGHT;범죄 검거력 효과:;Crime Fighting Effect:;Effet de lutte contre le crime :;Verbrechensbek쬦pfungseffekt:;;Efecto de lucha contra el crimen:;;;;;;;;;x;;;;;;;;;;;;;;;;
BUDGET_WARINDEMNITIES;전쟁배상금: 쬨$VAL$쬦;Reparations: 쬨$VAL$쬦;R쬦arations : 쬨$VAL$쬦;Reparationszahlungen: 쬨$VAL$쬦;;Reparaciones: 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_ANOTHER;다른 건설공사를 이미 진행하고 있습니다.;Another building construction is in progress;La construction d'une autre infrastructure est en cours.;Ein anderes Geb쬦de ist im Bau;;Ya se est쬦construyendo otro edificio;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_AT_MAX;$CURR$/$MAX$단계;Level $CURR$/$MAX$;Niveau $CURR$/$MAX$;Stufe $CURR$/$MAX$;;Nivel $CURR$/$MAX$;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_AT_MAX_TERRAIN;$CURR$/$MAX$단계(쬟$TERRAINMOD$쬦 $TERRAIN$);Level $CURR$/$MAX$ (쬟$TERRAINMOD$쬦 $TERRAIN$);Niveau $CURR$/$MAX$ (쬟$TERRAINMOD$쬦 $TERRAIN$);Level $CURR$/$MAX$ (쬟$TERRAINMOD$쬦 $TERRAIN$);;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_BLOCKED_BY;$OTHER$이(가) 봉쇄함;Blocked by $OTHER$;Blocage par $OTHER$;Von $OTHER$ blockiert;;Bloqueado por $OTHER$;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_CONSTRUCTION_TOOLTIP;쬨$NAME$쬦 공사를 진행하고 있습니다. 쬨$DATE$쬦에 완공 예정입니다.;Currently building 쬨$NAME$쬦, which will be finished earliest 쬨$DATE$쬦.;쬨$NAME$쬦 actuellement en construction.\nLes travaux seront termin쬦 au plus t쬦 le 쬨$DATE$쬦.;Momentan ist 쬨$NAME$쬦 im Bau, das fr쬦estens am 쬨$DATE$쬦 fertiggestellt wird.;;Se est쬦construyendo un edificio (쬨$NAME$쬦), que estar쬦terminado, como muy pronto, el 쬨$DATE$쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_1;$NAME$;$NAME$;$NAME$;$NAME$;Uko쬦zono budow쬦;$NAME$;Edificio completato.;쬦쬦m쬦y elk쬦z쬦t.;Budova je dokon쬦na.;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_2;$PROV$에서;in the province;dans la province;in der Provinz;Budynek $NAME$;en la provincia;$NAME$;A/az $NAME$;$NAME$;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_3;$NAME$을(를);$PROV$;$PROV$.;$PROV$;w prowincji;$PROV$;nella provincia di;elk쬦z쬦t a/az;v provincii;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_4;완공했습니다.;*;is completed.;est achev쬦;ist fertig.;$PROV$;se ha completado.;$PROV$;$PROV$;$PROV$;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_5;*;*;*;zosta쬦uko쬦zony.;*;쬦stato completato.;nev쬦tartom쬦yodban.;je hotova.;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_6;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_BTN1;확인;OK;D'accord;OK;OK;Zbudowano $NAME$ w prowincji $PROV$.;Aceptar;$NAME$: costruito in $PROV$.;$NAME$ 쬦쬦t $PROV$ nev쬦tartom쬦yodban.;$NAME$ byla postavena v $PROV$.;;;;;;x;;;;;;;;;;;;;;;
BUILDING_DONE_BTN2;확인;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;;;;;;;;;;;;;;;
BUILDING_DONE_BTN3;참조;Goto;Voir;Goto;OK;Ir all쬦OK;Rendben;OK;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_HEADER;건물 완공;Building is complete.;Construction termin쬦.;Geb쬦de ist fertig.;Kiedy budowa jest zako쬦zona.;Construcci쬦 completada;Quando un edificio 쬦stato completato;Mikor egy 쬦쬦kez쬦 befejez쬦ik.;Kdy쬦je dokon쬦na budova.;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_LOG;$PROV$에서 $NAME$을(를) 완공했습니다.;$NAME$ has been built in $PROV$.;$NAME$ a 쬦쬦construit dans la province de $PROV$.;$NAME$ wurde in $PROV$ gebaut.;*;Se ha construido $NAME$ en $PROV$.;*;*;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_MAP;$PROV$에서 $NAME$을(를) 완공했습니다.;$NAME$ has been built in $PROV$.;$NAME$ a 쬦쬦construit dans la province de $PROV$.;$NAME$ wurde in $PROV$ gebaut.;ID쬦DO;Se ha construido $NAME$ en $PROV$.;ANDARE;Menj ide:;P쬦J쬦 NA;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_DONE_SETUP;건물을 완공했을 때;When a building is finished.;Si la construction est termin쬦.;Wenn ein Geb쬦de vollendet wird.;;Cuando se finalice un edificio;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_INFRASTRUCTURE;철도: 쬨$VALUE$쬦;Infrastructure: 쬨$VALUE$쬦;Infrastructure : 쬨$VALUE$쬦;Infrastruktur: 쬨$VALUE$쬦;;Infraestructura: 쬨$VALUE$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_IN_PROGRESS;완공 예정일: 쬨$DATE$쬦;Estimated to finish 쬨$DATE$쬦;Fin pr쬦ue pour le 쬨$DATE$쬦;Gesch쬦zte Fertigstellung: 쬨$DATE$쬦;;Fecha estimada de finalizaci쬦: 쬨$DATE$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_MUST_HAVE;$OTHER$ 필요;Must have $OTHER$;Requis : $OTHER$;Muss $OTHER$ haben;;Debe tener: $OTHER$;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_NO_RAILWAYS;건설 허용 경제정책;Economic policy allows building;La politique 쬦onomique permet de b쬦ir.;Wirtschaftspolitik erm쬦licht den Bau von;;La pol쬦ica econ쬦ica permite construir;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_NO_TECH;쬨$TECH$쬦 필요;Discovered 쬨$TECH$쬦;D쬦ouverte : 쬨$TECH$쬦;Entdeckte 쬨$TECH$쬦;;Descubrimientos: 쬨$TECH$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_ONE_PER_STATE;각 주당 하나;Only one per state;;Nur eins pro Staat;;;;;;;;x;;;;;;;;;;;;;;;;;;;
BUILDING_PORT_PROVINCE;항구 지역;Port province;Province portuaire;Seeprovinz;;Provincia portuaria;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDING_YEAR;쬨$DATE$쬦년에 완공됩니다.;Built in 쬨$DATE$쬦.;Construit en 쬨$DATE$쬦.;Gebaut bis 쬨$DATE$쬦.;Wybranie tej opcji umo퓄iwi zaproponowanie traktatu pokojowego nieprzyjacielowi.;Construido en 쬨$DATE$쬦.;Seleziona questa opzione se vuoi proporre un trattato di pace al nemico.;Ezt a lehet쬦쬦et v쬦asztva b쬦eaj쬦latot teszel az ellens쬦nek;Vyberete-li tuto mo엖ost, budete moci nep曝teli nab쬦nout m쬦;;;;;;x;;;;;;;;;;;;;;;;
BUILDTYPE_FACTORY;공장;Factory;Usine;Fabrik;;F쬦rica;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDTYPE_FORT;군사 방어시설;Military Fortifications;Fort;Fort;;Fuerte;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDTYPE_INFRASTRUCTURE;철도;Infrastructure;Infrastructures ferroviaires;Infrastruktur;;Infraestruct.;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDTYPE_NAVALBASE;해군기지;Naval Base;Base navale;Marinest쬦zpunkt;;Base naval;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILDTYPE_RGO;자원 채집장;Rgo;EAM;RGO;;TOR;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILD_CIVILIZED;문명국;Civilized;Civilis쬦Zivilisiert;;Civilizado;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILD_COLONIAL;비식민주;Non-colonial state;쬦at non colonial;Nicht-Koloniestaat;;Estado no colonial;;;;;;;;;x;;;;;;;;;;;;;;;;
BUILD_CONST_TIP;쬨$BUILDING$쬦은(는) 쬨$DATE$쬦에 완공됩니다.;A 쬨$BUILDING$쬦 will be finished here in 쬨$DATE$쬦.;La construction du b쬦iment 쬨$BUILDING$쬦 sera achev쬦 ici le 쬨$DATE$쬦.;Hier wird am 쬨$DATE$쬦 ein 쬨$BUILDING$쬦 fertiggestellt.;쬨$TYPE$쬦 zostanie sformowana 쬨$DATE$쬦.;Aqu쬦se completar쬦un(a) 쬨$BUILDING$쬦 en 쬨$DATE$쬦.;Qui verr쬦schierato: 쬨$TYPE$쬦 in data 쬨$DATE$쬦.;쬨$TYPE$쬦 elk쬦z쬦쬦쬦ek v쬦hat쬦id쬦ontja: 쬨$DATE$쬦.;쬨$TYPE$쬦 zde bude od 쬨$DATE$쬦.;;;;;;x;;;;;;;;;;;;;;;;
BUILD_COST;건설비;Build Cost;Co쬦 de construction;Baukosten;lub;Coste de construcci쬦;o; vagy ;nebo;;;;;;x;;;;;;;;;;;;;;;;
BUILD_ESTIMATED_COST;미비축품 예상치: 쬟$COST$쬦� ;Estimated cost of goods not in stockpile: 쬟$COST$쬦쬦Co쬦 estim쬦des marchandises qui ne sont pas en r쬦erve : 쬟$COST$쬦쬦Gesch쬦zte Kosten f쬦 G쬦er, die nicht im Nationalvorrat sind: 쬟$COST$쬦쬦;Coste estimado de bienes que no est쬦 en la reserva: 쬟$COST$쬦쬦;;;;;;;;x;;;;;;;;;;;;;;;;
BUILD_TIME;건설 속도;Build Time;Dur쬦 de construction;Bauzeit;;Tiempo cons.;;;;;;;;;x;;;;;;;;;;;;;;;;
BUY;구매;BUY;ACHETER;KAUFE;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUYLICENCEDESC;타국이 개발한 장비의 생산 허가를 요청합니다.;Request to build a number of units developed by another country.;Demandez 쬦construire un certain nombre d'unit쬦 d쬦elopp쬦s par un autre pays.;Bau einer Anzahl von Einheiten beantragen, die von einem anderen Land entwickelt wurden.;;Solicitar construir una serie de unidades desarrolladas por otro pa쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
BUYLICENCENEWDESC;쬨$TYPE$쬦을(를) 쬨$NUM$쬦 병행 생산하는 쬨$RUNS$쬦의 생산 허가를 요청합니다.\n매입 대금은 쬨$PAY$쬦입니다.;Do you wish to request a production licence for 쬨$RUNS$쬦 parallel production runs of 쬨$NUM$쬦 쬨$TYPE$쬦쬦\nWe will agree to pay 쬨$PAY$쬦.;Souhaitez-vous demander une licence de production pour 쬨$RUNS$쬦 s쬦ies de production parall쬦e de 쬨$NUM$쬦 쬨$TYPE$쬦 쬦\nNous sommes pr쬦s 쬦payer 쬨$PAY$쬦.;M쬦hten Sie eine Baulizenz f쬦 쬨$RUNS$쬦 Parallelbauten von 쬨$NUM$쬦 쬨$TYPE$쬦 beantragen쬦\nWir zahlen daf쬦 쬨$PAY$쬦.;;풯uieres solicitar una licencia de producci쬦 para 쬨$RUNS$쬦 una producci쬦 paralela de 쬨$NUM$쬦 쬨$TYPE$쬦쬦\nAccedemos a pagar 쬨$PAY$쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
BUYLICENCENONE;개발할 장비를 선택합니다.;Select a unit to build on licence.;Choisissez une unit쬦쬦construire sous licence.;Einheit ausw쬦len, die unter Lizenz gebaut werden soll.;;Seleccionar una unidad para construir una licencia.;;;;;;;;;x;;;;;;;;;;;;;;;;
BUYLICENCETITLE;생산 허가증 구매;Buy Production Licence;Acheter une licence de production;Produktionslizenz kaufen;;Comprar licencia de producci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
BUYLICENCE_MPCOST;인력이 $COST$ 부족합니다.;We lack the $COST$ necessary manpower;Il nous manque les $COST$ de main d'쐕vre n쬦essaires;Wir haben nicht die n쬦ige $COST$ Mannst쬦ke;;Nos faltan $COST$ de recursos humanos;;;;;;;;;x;;;;;;;;;;;;;;;;
