desc_underground_railroad;지하철도가 이 지방의 노예들을 자유의 몸으로 만들어주고 있습니다.;Cette province est ?uip? d'une voie ferr? souterraine qui conduit les esclaves vers la libert?;Eine Underground Railroad arbeitet in dieser Provinz;;;;;;;;;;;
knights_of_the_golden_circle;골든 써클 기사단;Les Chevaliers du Cercle d'or;Knights of The Golden Circle;;;;;;;;;;;
desc_knights_of_the_golden_circle;이곳에서는 노예제를 옹호하는 비밀 조직이 운영되고 있습니다.;Une organisation secr?e d?i? ?la promotion de l'esclavage s?it dans cette province.;Eine Geheimgesellschaft, die sich der F?derung der Sklaverei verschrieben hat, operiert in dieser Provinz.;;;;;;;;;;;
american_anti_slavery_society;반-노예제 협회;L'American Anti-Slavery Society;American Anti-Slavery Society;;;;;;;;;;;
desc_american_anti_slavery_society;이곳에는 노예제 폐지를 주장하는 ;Une organisation pr?ant l'abolition de l'esclavage s?it dans cette province.;Eine Gesellschaft, die sich der Abschaffung der Sklaverei verschrieben hat, operiert in dieser Provinz.;;;;;;;;;;;
copperhead_democrats;평화 민주당;Les copperheads;Copperhead-Demokraten;;;;;;;;;;;
desc_copperhead_democrats;이 지방에서는 친 분리독립파의 민주당원들이 활동하고 있습니다.;Des d?ocrates oppos? ?la Guerre de S?ession s?issent dans cette province.;Pro-sezessionistische Demokraten sind in dieser Provinz aktiv;;;;;;;;;;;
the_homestead_act;파나카디즘;The Idea of Panarcadianism;The Idea of Panarcadianism;;;;;;;;;;;
desc_the_homestead_act;아르카디아의 사람들이 연합의 통치를 전적으로 수용하고 있는 가운데, 우리 나라는 그 어느 때보다도 통일되고 영광스럽게 서 있습니다. 우리 대륙에 평화가 깃들면서, 구세계에 지친 시민들은 그 어느 때보다도 희망을 가지고 우리나라를 바라봅니다.;;;;;;;;;;
the_homestead_act2;이상적인 아메리간;L'id?l Am?iguain;Der Amerige Ideal;;;;;;;;;;;
desc_the_homestead_act2;아메리간 대륙은 하나로 뭉쳐있고, 다양한 사람들이 하나의 이상을 중심으로 뭉쳐 있습니다. 바로 평화와 번영입니다. 포클랜드에서부터 카르타게나까지 우리의 이상이 서있습니다. 우리의 대륙에 평화가 깃들면서, 구세계에 지친 시민들은 그 어느 때보다도 희망을 가지고 우리나라를 바라봅니다.;;;;;;;;;;;;
the_slavery_debate;노예제 논쟁;Le d?at sur l'esclavage;Die Sklaverei-Debatte;;;;;;;;;;;
desc_the_slavery_debate;미국에서는 노예제에 대한 논쟁이 벌어지고 있고, 이 문제에 대한 대중의 의식은 매일 높아지고 있습니다. 만약 상원 의원에서 진보당이 30%를 차지하거나 집권당이 진보당이라면 남쪽은 분리 독립 되기 쉬울 것입니다..;Le d?at sur l'esclavage est tr? anim?aux ?ats-Unis o?l'on assiste ?un ?eil progressif de la conscience populaire. Si la Chambre haute obtient un jour une repr?entation lib?ale d'au moins 30 %, le Sud risque de faire s?ession.;Die Sklaverei wird in den Vereinigten Staaten heftig debattiert und das Volksbewusstsein ?er die Angelegenheit steigt t?lich. Wenn die Liberalen im Oberhaus mindestens 30 Prozent der Stimmen haben, k?nte sich der S?en sehr wohl zur Sezession entscheiden.;;;;;;;;;;;
blood_and_iron_mine;피와 철 광산;Sang et mine de fer;Blut-und-Eisenmine;;;;;;;;;;;
desc_blood_and_iron_mine;풍부하지만 위험하고 채굴하기 어려운 철광석이 이 지방에서 채굴되고 있습니다.;Un filon de minerai de fer riche mais dangereux est exploit?dans cette province.;Eine reiche, aber sehr schwierig und gef?rlich abzubauende Eisenerzader wird in dieser Provinz abgebaut.;;;;;;;;;;;
libertine_culture;난봉꾼 문화;Culture libertine;Freiz?ige Kultur;;;;;;;;;;;
desc_libertine_culture;우리나라는 술에 대한 접근이 자유롭습니다.;Notre nation adopte une approche libertine vis-?vis de la consommation d'alcool. Onze bouteilles de bi?e sur le mur... Yo-ho-ho ! Et une bouteille de rhum !;Unsere Nation hat einen freiz?igen Ansatz zum Gebrauch von Alkohol. Heute blau und morgen blau, und ?ermorgen wieder.;;;;;;;;;;;
temperance_league;금주연맹;Ligue antialcoolique;Abstinenzlerliga;;;;;;;;;;;
desc_temperance_league;우리나라는 정부 내에서 상당히 강한 영향력을 가진 금주 연맹을 가지고 있습니다.;Notre nation poss?e une puissante ligue antialcoolique tr? influente, y compris au sein des cercles gouvernementaux.;Unsere Nation hat eine starke und prominente Abstinenzlerliga mit viel Einfluss selbst auf Regierungskreise.;;;;;;;;;;;
beer_halls;맥주홀;Brasseries;Biersch?ke;;;;;;;;;;;
desc_beer_halls;이 지방에는 맥주홀, 샬롱, 바 등이 있으며, 시민들은 그 안에서 상당한 시간을 보냅니다.;Cette province poss?e une brasserie, un saloon ou un bar. Les citoyens y passent beaucoup de temps.;Diese Provinz hat eine Biersch?ke, einen Saloon oder eine Bar f? jede Gelegenheit, und die Bewohner verbringen viel Zeit in ihnen.;;;;;;;;;;;
destitution_and_poverty;가난과 빈곤;Mis?e et pauvret?Armut & Verzweiflung;;;;;;;;;;;
desc_destitution_and_poverty;술을 소비하는 것은 빠르게 이 지방에서 주요한 사회 문제가 되고 있습니다.;La consommation d'alcool est un probl?e de plus en plus pesant pour cette province.;Alkoholmissbrauch wird immer mehr zu einem gro?n sozialen Problem in dieser Provinz.;;;;;;;;;;;
liquor_prohibition;주류 금지법;Prohibition de l'alcool;Alkoholprohibition;;;;;;;;;;;
desc_liquor_prohibition;우리나라에서는 주류 판매, 보유, 음용이 금지되어 있습니다.;La vente, la possession et la consommation de boissons alcoolis?s est interdite dans notre pays.;Verkauf, Besitz und Genuss von Alkohol sind in unserem Land verboten.;;;;;;;;;;;
minority_building_restrictions;소수민족의 건설 제한;Restrictions de construction pour les minorit?;Baubeschr?kungen f? Minderheiten;;;;;;;;;;;
desc_minority_building_restrictions;우리나라에서는 소수민족이 소유한 땅에서도 영구적으로 건물을 짓지 못하도록 하는 정책을 시행하고 있습니다.;Notre pays m?e une politique qui emp?he les minorit? de construire des b?iments en dur, m?e si la terre leur appartient.;Unser Land hat Gesetze, die Minderheiten den Bau permanenter Geb?de selbst auf ihrem eigenen Land untersagen.;;;;;;;;;;;
dryzymalas_wagon;지마위의 마차;Le chariot de Drzyma?a;Dryzymalas Kutschwagen;;;;;;;;;;;
desc_dryzymalas_wagon;노인 지마이는 마차 안에서 생활하며 건물 금지를 회피하고 있습니다.;Le vieux Drzyma?a contourne l'interdiction des constructions en dur en vivant dans un chariot.;Der alte Dryzymala unterl?ft diese Gesetze, indem er in einem Kutschwagen lebt.;;;;;;;;;;;
discriminatory_school_system;차별화된 학교 시스템;Syst?e scolaire discriminatoire;Diskriminierendes Schulsystem;;;;;;;;;;;
desc_discriminatory_school_system;우리의 학교 시스템은 우리 민족이 아닌 이들을 차별하고 있습니다.;Notre syst?e scolaire est discriminatoire envers les citoyens qui n'embrassent pas notre culture nationale.;Unser Schulssystem diskriminiert B?ger, die einer anderen Kultur als der Nationalkultur angeh?en.;;;;;;;;;;;
flying_university;이동식 대학교;L'Universit?volante;Fliegende Universit?;;;;;;;;;;;
desc_flying_university;이 지하조직은 소수민족의 언어에 대한 고등 교육을 제공합니다.;Une organisation clandestine permet de faire des ?udes dans une langue minoritaire.;Eine Untergrundorganisation bietet h?ere Bildung in einer Minderheitensprache an.;;;;;;;;;;;
organic_work;유기적인 작업;Travail organique;Organische Arbeit;;;;;;;;;;;
desc_organic_work;이 지방에서는 저항의 한 형태로 일하기 위한 움직임이 일고 있습니다.;Un mouvement d?i?au travail en tant que forme de r?istance s?it dans cette province.;In dieser Provinz operiert eine Widerstandsbewegung.;;;;;;;;;;;
egyptian_excavations;이집트 발굴;Fouilles ?yptiennes;훕yptische Ausgrabungen;;;;;;;;;;;
egyptian_excavations_desc;우리나라는 왕들의 계곡에서 고고학적 발굴을 주도하고 있습니다.;Notre pays m?e des fouilles arch?logiques dans la vall? des rois.;Unser Land f?rt die arch?logischen Ausgrabungen im Tal der K?ige.;;;;;;;;;;;
trek_boers;보어인들의 장정;Le Trek des Boers;Treck-Buren;;;;;;;;;;;
desc_trek_boers;케이프 식민지에서 온 보어인들이 이 지방으로 이주하고 있습니다. 후에 '대장정' 알려질 일입니다.;Les Boers de la colonie du Cap migrent vers cette province. C'est ce que l'on appellera plus tard le ""Grand Trek"".;Buren aus der Kapkolonie wandern in diese Provinz ein. Ein kleines Rinnsal im gro?n Fluss", der einst als der 'Gro? Treck' bekannt wird.;;;;;;;;;;;
gold_rush;골드 러쉬;Ru? vers l'or;Goldrausch;;;;;;;;;;;
desc_gold_rush;이 지방은 금의 발견으로 호황을 누리고 있습니다.;Cette province prosp?e gr?e ?la d?ouverte d'or.;Diese Provinz floriert, weil Gold gefunden wurde.;;;;;;;;;;;
witwatersrand_gold_rush;위트와테르스란트 골드러쉬;La ru? vers l뭥r de Witwatersrand;Witwatersrand-Goldrausch;;;;;;;;;;;
desc_witwatersrand_gold_rush;위트와테르스란트의 골드러쉬가 우리나라를 국제적으로 유명하게 만들고 있습니다.;Une ru? vers l뭥r dans le Witwatersrand nous fait conna?re internationalement.;Ein Goldrausch im Witwatersrand macht uns international bekannt.;;;;;;;;;;;
local_tractors;트랙터;Tracteurs;Traktoren;;;;;;;;;;;
desc_local_tractors;기계화된 농업은 트랙터의 형태로 이 지방에 도착했고, 효율을 높이고, 지역 농업의 노동 강도를 줄였습니다.;L'agriculture m?anis? a ??introduite dans cette province sous la forme de tracteurs qui am?iorent l'efficacit?et r?uisent l'intensit?de main-d'쐕vre de l'agriculture locale.;Mechanisierte Agrikultur ist in dieser Provinz in Form von Traktoren eingetroffen, was die Effizienz der lokalen Bauern erh?t und ihre Arbeitsintensit? verringert.;;;;;;;;;;;
local_electricity;전기 조명;?lairage ?ectrique;Elektrisches Licht;;;;;;;;;;;
desc_local_electricity;이 지방의 거리에는 전깃불이 켜져 있고, 근로자들이 새롭게 불이 켜진 환경에서 일하여 지역 생산의 효율이 높아졌습니다.;Cette province a ???uip? d'?lairages ?ectriques, ce qui am?iore l'efficacit?de toute la production locale, car les ouvriers travaillent dans des environnements neufs et bien ?lair?.;Elektrische Stra?nbeleuchtung wurde in dieser Provinz installiert, was die Effizienz der gesamten lokalen Produktion steigert, da die Arbeiter in neuer und gut beleuchteter Umgebung ihr Werk verrichten.;;;;;;;;;;;
local_nitroglycerin;니트로글리세린;Nitroglyc?ine;Nitroglyzerin;;;;;;;;;;;
desc_local_nitroglycerin;현대식 폭발물 사용에 대한 지식이 이 지방으로 퍼져서 지역 광산 사업에 도움을 주고 있습니다.;Cette province sait utiliser les explosifs modernes pour exploiter les mines locales.;Wissen um moderne Sprengstoffe hat sich in diese Provinz ausbegreitet und hilft bei den lokalen Bergbauunternehmungen.;;;;;;;;;;;
local_distribution_channels;상업 소매상;D?aillants;Kommerzielle Einzelh?dler;;;;;;;;;;;
desc_local_distribution_channels;이 지방에서는 상품의 판매와 재판매를 위한 새롭고 효율적인 방식과 구조가 사용되어 농부들은 자유롭게 밭을 갈 수 있게 되었습니다.;De nouvelles et efficaces m?hodes et structures de vente et de revente de marchandises ont ??introduites dans cette province, laissant les agriculteurs libres de s'occuper de leurs champs.;Neue und effiziente Modi und Strukturen zum Kauf und Verkauf von G?ern wurden in dieser Provinz eingef?rt, was den Bauern mehr Zeit zur Bearbeitung ihrer Felder l?st.;;;;;;;;;;;
local_machine_tools;기계화된 채굴;Extraction mini?e m?anis?;Mechanisierter Bergbau;;;;;;;;;;;
desc_local_machine_tools;이 지방의 채굴 공정은 새롭고 기계화된 공구로 진행되어 현지 채굴 작업의 효율성을 높입니다.;Dans cette province, l'extraction s'effectue au moyen d'outils m?anis? neufs qui am?iorent l'efficacit?des exploitations mini?es locales.;Der Bergbau in dieser Provinz wird mit neuen und mechanisierten Werkzeugen ausgef?rt, was seine Effizienz steigert.;;;;;;;;;;;
shaft_mine;수직 채굴;;;;;;;;;;;;;
shaft_mine_desc;깊은 수직 채굴방식이 이 지방에서 개발되었습니다.;;;;;;;;;;;;;
pit_mine;채석장;;;;;;;;;;;;;
pit_mine_desc;채석장이 이 지방에서 개발되었습니다.;;;;;;;;;;;;;
strip_mine;노천광;;;;;;;;;;;;;
strip_mine_desc;노천광이 이 지방에서 개발되었습니다.;;;;;;;;;;;;;
crop_rotation;윤작;;;;;;;;;;;;;
crop_rotation_desc;이 지방에서는 윤작이 실행되고 있습니다.;;;;;;;;;;;;;
irrigration_network;관개망;;;;;;;;;;;;;
irrigration_network_desc;이곳에는 관개망이 구축되어 사막이 보다 효과적으로 경작될 수 있게 되었습니다.;;;;;;;;;;;;;
nitrates;질산염;;;;;;;;;;;;;
nitrates_desc;질산염은 현재 이 지역의 농토를 비옥하게 하는 데 사용되고 있습니다.;;;;;;;;;;;;;
phosphates;인산염;;;;;;;;;;;;;
phosphates_desc;인산염은 현재 이 지역의 농토를 비옥하게 하는 데 사용되고 있습니다.;;;;;;;;;;;;;
intense_farming;집중농업;;;;;;;;;;;;;
intense_farming_desc;이 지방에서는 농지를 더 효율적이고 집중적으로 경작하기 시작했습니다. 비록 이것이 농지를 못쓰게 만들 위험이 있다고 하더라도 말입니다.;;;;;;;;;;;;;
new_production;새로운 농장;;;;;;;;;;;;;
new_production_desc;이 지방에서 새로운 농장이 시작되었고, 생산은 이곳 원주민들에 의해 이루어진 전통적인 농업이 아닌 현금 작물로 옮겨졌습니다.;;;;;;;;;;;;;
exhausted_land;불모지화;;;;;;;;;;;;;
exhausted_land_desc;이 지방의 농사방식인 집중적인 농사는 토양을 고갈시켰습니다. 토지가 회복되기 전까지는 생산량이 적을 것입니다.;;;;;;;;;;;;;
switched_production;교체된 생산품;;;;;;;;;;;;;
switched_production_desc;이 지방은 이제 막 주요 생산지를 바꾸었고, 지역 주민들은 여전히 그 변화에 적응하고 있습니다.;;;;;;;;;;;;;
pandemic_influenza;유행성 독감;Pand?ie de grippe;Influenzaepidemie;;;;;;;;;;;
desc_pandemic_influenza;우리나라에서 유행성 독감이 발생해 수천 명이 목숨을 잃었습니다. 우리는 그것이 우리의 적에게도 퍼지기를 바랄 뿐입니다.;Une pand?ie de grippe a ?lat?dans notre pays, tuant des milliers de gens. Nous esp?ons seulement qu'elle touchera ?alement nos ennemis.;Eine Influenzaepidemie ist in unserem Land ausgebrochen und hat Tausende von Opfern gefordert. Wir k?nen nur hoffen, dass sie auch unsere Feinde erreicht.;;;;;;;;;;;
tuberculosis;결핵 유행;;;;;;;;;;;;;
tuberculosis_desc;폐결핵은 지방을 휩쓸고 지나가고 있습니다.;;;;;;;;;;;;;
typhoid;장티푸스 유행;;;;;;;;;;;;;
typhoid_desc;장티푸스는 식수의 오염으로 인해 발생하는데, 이 병의 발병은 현재 이 지방을 황폐화시키고 있습니다.;;;;;;;;;;;;;
smallpox;천연두 유행;;;;;;;;;;;;;
smallpox_desc;천연두는 현재 이 지방 사람들을 황폐화시키고 있습니다.;;;;;;;;;;;;;
economic_trend;경제적 동향;;;;;;;;;;;;;
economic_trend_desc;우리나라의 경제는 현재 유동적입니다.;;;;;;;;;;;;;
trustee_system;모범수 시스템;Le ""Trusty System"";Das Treuh?dersystem;;;;;;;;;;;
trustee_system_desc;수감자들은 이 주의 다른 교도소에 수감되어 있는 다른 수감자들을 감시합니다. 대신 생산성이 낮아집니다.;Dans les prisons de cet ?at, les condamn? sont surveill? par des cod?enus. Cette m?hode a nettement accru la production.;Insassen ?erwachen ihre Mitinsassen in den Gef?gnissen dieses Staates, und die Produktion ist deswegen angestiegen.;;;;;;;;;;;
penal_colonies;형벌 식민지;Colonies p?ales;Strafkolonien;;;;;;;;;;;
penal_colonies_desc;우리 제국 주변에는 여러개의 형벌 식민지가 있습니다. 우리는 그곳으로 최악의 범죄자들을 추방합니다..;Plusieurs colonies de taille et de forme variables sont dispers?s autour de notre Empire. Elles accueillent nos pires criminels.;Um unser Reich herum verstreut liegen mehrere Strafkolonien verschiedener Gr秤en und Ausf?rungen, in die wir unsere schlimmsten Verbrecher verbannen.;;;;;;;;;;;
stock_market_crash;주식시장 붕괴;Krach boursier;B?sencrash;;;;;;;;;;;
stock_market_crash_desc;우리나라는 증시 폭락 효과를 체감하고 있습니다.;Notre pays ressent les effets d'un krach boursier.;Unser Land leidet unter den Auswirkungen eines B?sencrashs.;;;;;;;;;;;
great_depression;대공황;Grande d?ression;Gro? Depression;;;;;;;;;;;
central_bank_established;중앙은행;Banque centrale;Zentralbank;;;;;;;;;;;
central_bank_established_desc;우리 정부의 중앙은행은 화폐 발행에 대해 엄격한 독점을 유지하고 있습니다.;La banque centre de notre gouvernement maintient un monopole strict sur l'?ission de la devise.;Die Zentralbank unserer Regierung beh?t sich ein striktes Notenprivileg vor.;;;;;;;;;;;
local_stock_exchange;증권 거래소;Bourse;B?se;;;;;;;;;;;
local_stock_exchange_desc;한 증권 거래소는 이 지방에서 운영되며 생산량을 증가시키고 있습니다.;Cette province abrite une bourse locale qui am?iore le rendement de la production locale.;In dieser Provinz gibt es eine lokale B?se, die die lokale Produktionsleistung steigert.;;;;;;;;;;;
economic_boom;경제 활성화;Essor ?onomique;Wirtschaftsboom;;;;;;;;;;;
economic_boom_desc;우리 경제는 투자은행과 낮은 실업률 덕분에 호황을 누리고 있습니다.;Notre ?onomie est en plein essor gr?e ?nos banques d'investissement ainsi qu'?une longue p?iode de ch?age plut? bas.;Dank unseren Investmentbanken und eine langen Zeitspanne mit geringer Arbeitslosigkeit boomt unsere Wirtschaft.;;;;;;;;;;;
recession;경기 후퇴;;;;;;;;;;;;;
recession_desc;경기가 불황에 빠지면서 생산량 감소와 불황의 앞에 놓여 있는 국민들의 불안이 이어지고 있습니다.;;;;;;;;;;;;;
Bull_market;강세 시장;;;;;;;;;;;;;
Bull_market_desc;우리는 경제 호황을 누리고 있습니다. 공장들은 더 많은 생산을 하고 있으며, 사람들은 사치품을 구입하고 있습니다.;;;;;;;;;;;;;
building_suez_canal;수에즈 운하 건설;Building the Suez Canal;Building the Suez Canal;Building the Suez Canal;Building the Suez Canal;Building the Suez Canal;Building the Suez Canal;Building the Suez Canal;;;;;;
building_suez_canal_desc;수에즈 운하는 현재 건설 중입니다. 각 단계가 완료된 후 진행 상황을 알리기 위해 이벤트가 발생합니다. 건설에는 약 10년이 걸릴 것입니다.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;;;;;;
building_suez_canal_revolt;수에즈 운하에서의 노동자 반란;Worker revolt at the Suez Canal;Worker revolt at the Suez Canal;Worker revolt at the Suez Canal;Worker revolt at the Suez Canal;Worker revolt at the Suez Canal;Worker revolt at the Suez Canal;Worker revolt at the Suez Canal;;;;;;
building_suez_canal_revolt_desc;수에즈 운하 건설은 반란이 끝날 때까지 중단되었습니다.;Construction off the Suez Canal has halted until the revolt is over.;Construction off the Suez Canal has halted until the revolt is over.;Construction off the Suez Canal has halted until the revolt is over.;Construction off the Suez Canal has halted until the revolt is over.;Construction off the Suez Canal has halted until the revolt is over.;Construction off the Suez Canal has halted until the revolt is over.;Construction off the Suez Canal has halted until the revolt is over.;;;;;;
suez_canal;수에즈 운하;Suez Canal;Suez Canal;Suez Canal;Suez Canal;Suez Canal;Suez Canal;Suez Canal;;;;;;
suez_canal_dividend;수에즈 운하 배당금;;;;;;;;;;;;;
suez_canal_dividend_desc;우리는 현재 수에즈 운하를 통과한 배들에 대한 수입금을 처리하고 있습니다.;;;;;;;;;;;;;
suez_canal_treaty;수에즈 운하 조약;Suez Canal Treaty;Suez Canal Treaty;Suez Canal Treaty;Suez Canal Treaty;Suez Canal Treaty;Suez Canal Treaty;Suez Canal Treaty;;;;;;
suez_canal_treaty_desc;$YEAR$년의 수에즈 운하 조약은 10,000달러와 25만 달러의 연금으로 운하 권리를 교환하는 것으로 서명되었습니다.;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;;;;;;
suez_canal_treaty_annuity;수에즈 운하 조약 연금;;;;;;;;;;;;;
suez_canal_treaty_annuity_desc;우리는 현재 수에즈 운하 조약으로 인한 지불을 처리하고 있습니다.;;;;;;;;;;;;;
building_panama_canal;안다고야 운하 건설;Building the Andagoya Canal;Building the Andagoya Canal;Building the Andagoya Canal;Building the Andagoya Canal;Building the Andagoya Canal;Building the Andagoya Canal;Building the Andagoya Canal;;;;;;
building_panama_canal_desc;안다고야 운하는 현재 건설 중입니다. 각 단계가 완료된 후 진행 상황을 알리기 위해 이벤트가 발생합니다. 건설에는 약 12.5년이 걸릴 것입니다.;The Andagoya Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Andagoya Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Andagoya Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Andagoya Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Andagoya Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Andagoya Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Andagoya Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;;;;;;
panama_canal;안다고야 운하;Andagoya Canal;Andagoya Canal;Andagoya Canal;Andagoya Canal;Andagoya Canal;Andagoya Canal;Andagoya Canal;;;;;;
panama_canal_dividend;안다고야 운하 배당금;;;;;;;;;;;;;
panama_canal_dividend_desc;우리는 현재 안다고야 운하를 통과한 배들에 대한 수입금을 처리하고 있습니다.;;;;;;;;;;;;;
panama_canal_treaty;헤이-부나우-바릴라 조약;Hay-Bunau-Varilla treaty;Hay-Bunau-Varilla treaty;Hay-Bunau-Varilla treaty;Hay-Bunau-Varilla treaty;Hay-Bunau-Varilla treaty;Hay-Bunau-Varilla treaty;Hay-Bunau-Varilla treaty;;;;;;
panama_canal_treaty_desc;헤이-부나우-바닐라 조약은 미국과 안다고야 지협을 가로질러 미국에 연금을 지급하는 대가로 독점적인 운하 권리를 부여하는 협정입니다.;The Hay-Bunau-Varilla treaty was an agreement between the USA and the Andagoya granting exclusive canal rights to the USA across the isthmus of Andagoya in exchange for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;The Hay-Bunau-Varilla treaty was an agreement between the USA and the Andagoya granting exclusive canal rights to the USA across the isthmus of Andagoya in exchange for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;The Hay-Bunau-Varilla treaty was an agreement between the USA and the Andagoya granting exclusive canal rights to the USA across the isthmus of Andagoya in exchange for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;The Hay-Bunau-Varilla treaty was an agreement between the USA and the Andagoya granting exclusive canal rights to the USA across the isthmus of Andagoya in exchange for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;The Hay-Bunau-Varilla treaty was an agreement between the USA and the Andagoya granting exclusive canal rights to the USA across the isthmus of Andagoya in exchange for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;The Hay-Bunau-Varilla treaty was an agreement between the USA and the Andagoya granting exclusive canal rights to the USA across the isthmus of Andagoya in exchange for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;The Hay-Bunau-Varilla treaty was an agreement between the USA and the Andagoya granting exclusive canal rights to the USA across the isthmus of Andagoya in exchange for a financial reimbursement of 10,0,000 plus an annuity of 250,000.;;;;;;
panama_canal_treaty_annuity;안다고야 운하 조약 연금;;;;;;;;;;;;;
panama_canal_treaty_annuity_desc;우리는 현재 안다고야 운하 조약으로 인한 지불을 처리하고 있습니다.;;;;;;;;;;;;;
building_panama_canal_scandal;안다고야 운하 추문;Andagoya Canal Scandal;Andagoya Canal Scandal;Andagoya Canal Scandal;Andagoya Canal Scandal;Andagoya Canal Scandal;Andagoya Canal Scandal;Andagoya Canal Scandal;;;;;;
building_panama_canal_scandal_desc;안다고야 운하에서의 처참한 사고가 잊혀질때까지 공사를 재개할수 없을 것입니다.;Until the memory of the disastrous construction attempt of the Andagoya Canal has faded enough we can't resume construction.;Until the memory of the disastrous construction attempt of the Andagoya Canal has faded enough we can't resume construction.;Until the memory of the disastrous construction attempt of the Andagoya Canal has faded enough we can't resume construction.;Until the memory of the disastrous construction attempt of the Andagoya Canal has faded enough we can't resume construction.;Until the memory of the disastrous construction attempt of the Andagoya Canal has faded enough we can't resume construction.;Until the memory of the disastrous construction attempt of the Andagoya Canal has faded enough we can't resume construction.;Until the memory of the disastrous construction attempt of the Andagoya Canal has faded enough we can't resume construction.;;;;;;
building_kiel_canal;킬 운하 건설;Building the Kiel Canal;Building the Kiel Canal;Building the Kiel Canal;Building the Kiel Canal;Building the Kiel Canal;Building the Kiel Canal;Building the Kiel Canal;;;;;;
building_kiel_canal_desc;킬 운하는 현재 건설 중입니다. 각 단계가 완료된 후 진행 상황을 알리기 위해 이벤트가 발생합니다. 건설에는 약 8년이 걸릴 것입니다.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;;;;;;
kiel_canal;킬 운하;Kiel Canal;Kiel Canal;Kiel Canal;Kiel Canal;Kiel Canal;Kiel Canal;Kiel Canal;;;;;;
kiel_canal_dividend;킬 운하 배당금;;;;;;;;;;;;;
kiel_canal_dividend_desc;우리는 현재 킬 운하를 통과한 배들에 대한 수입금을 처리하고 있습니다.;;;;;;;;;;;;;
integration_refusal;통합 거부;;;;;;;;;;;;;
integration_refusal_desc;이 지방은 나머지 지역에 통합되지 않고, 별도의 신분 유지도 허용되고 있습니다.;;;;;;;;;;;;;
core_integration;코어 통합;;;;;;;;;;;;;
core_integration_desc;이 지방은 다른 지방으로 통합되고 있는데, 통합 과정은 느리기에 문제가 생길수 있습니다.;;;;;;;;;;;;;
national_assimilation;국민 동화;;;;;;;;;;;;;
