machine_parts_factory_desc;산업 혁명은 철도의 대중화로 한층 더 힘을 얻었습니다. 그리고 이는 기계 산업에서 금속 공정을 위한 새로운 기계류, 기계식 도구, 열차용 증기엔진 등의 생산을 위한 새로운 작업을 여럿 가져왔습니다. 게다가 신흥 기계 공장들은 직물기계, 압축기, 농기계, 선박용 엔진 등의 생산용 기계들을 만들기 시작했습니다. 기계 산업의 시장이 넓어지면서 점점 더 커져가는 국내 및 국제 시장의 필요를 위해 전문화된 제품들이 제조되기 시작했습니다.;The Industrial Revolution received a further boost with the popularization of railways. For the machinery industry this brought all sorts of new work with new machinery for metallurgy, machine tools for metalworking and production of steam engines for trains. In addition, the emerging machine factories started making machines for production machines as textile machinery, compressors, agricultural machinery, and engines for ships. In time the market for the machine industry became wider, specialized products were manufactured for a greater national and often international market.;;;;;;;;;;;;;;;;;;;x;;;;
fuel_refinery;원유 정제소;Oil Refinery;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fuel_refinery_desc;정유 공장은 석유 나프타, 휘발유, 경유, 아스팔트, 난방유, 등유, 액화석유가스 등과 같은 여러 유용한 제품으로 원유를 가공하고 정제하는 산업 공정을 행하는 공장입니다. 정유소에서는 분별 증류를 통해 원유를 분리합니다. 분할되는 열의 상단에 있는 분율은 하단의 분율보다 낮은 비등점을 가집니다. 무거운 바닥의 분율은 종종 더 가볍고 더 유용한 결과물을 갈라지게끔 합니다. 모든 분율은 다른 정제소에서 추가적인 처리 과정을 거칩니다.;An oil refinery is an industrial process plant where crude oil is processed and refined into more useful products such as petroleum naphtha, gasoline, diesel fuel, asphalt base, heating oil, kerosene and liquefied petroleum gas. In the Refinery, crude oil is separated into fractions by fractional distillation. The fractions at the top of the fractionating column have lower boiling points than the fractions at the bottom. The heavy bottom fractions are often cracked into lighter, more useful products. All of the fractions are processed further in other refining units.;;;;;;;;;;;;;;;;;;;;x;;;;
radio_factory_desc;중파방송용 라디오는 진폭 변조를 사용합니다. 진폭 변조는 전송된 신호의 진폭이 마이크가 잡은(변환된) 소리의 진폭에 비례하여 이루어지며 전송된 주파수는 변경되지 않습니다. 이러한 라디오는 무선주파수 수신기 또는 고감도 수신기일 수 있으며, 후자는 일반적으로 여러 기계, 국부발진기, 두 중파 및 두 녹음증폭기(45킬로헤르츠 중파)를 사용합니다. 라디오의 겉은 플라스틱의 일종인 베이클라이트 또는 나무로 만드며, 내부는 주로 다양한 금속과 진공관을 사용해 만듭니다(가끔씩 고무가 분리되기도 함).;AM radio uses amplitude modulation, in which the amplitude of the transmitted signal is made proportional to the sound amplitude captured (transduced) by the microphone, while the transmitted frequency remains unchanged. It can be a TRF receiver or a superheterodyne receiver, the latter typically using 6 triodes: a mixer, local oscillator, two IF and two audio amplifier stages, with an IF of 45 kHz. The radio case could be made of Bakelite or wood and the insides typically were made out of a variety of metals and vacuum tubes, with the occasional rubber to isolate.;;;;;;;;;;;;;;;;;;;;x;;;;
synthetic_oil_factory;석탄 액화 공장;Coal Liquefaction Plant;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
synthetic_oil_factory_desc;수소화 과정을 통해 석탄이 액체로 직접 전환되는 주요한 방법이 바로 베르기우스제법입니다. 이 과정에서는 석탄을 곱게 갈아서 뜨거운 가스의 흐름 속에 말립니다. 말려진 결과물은 공정에서 재활용된 중유와 혼합되며 일반적으로 촉매제도 혼합물에 섞습니다. 일반적으로 석탄에 존재하는 철 황화물은 이 공정에서 충분한 촉매 활동을 할 수 있습니다. 그런 다음 혼합물이 반응로로 솟구쳐오면서 섭씨 400-500도, 20-70 MPa 수소 압력 사이에서 반응이 일어납니다. 이러한 반응은 중유(heavy oils), 중유(middle oils), 휘발유, 가스를 생산합니다.;The main methods of direct conversion of coal to liquids by hydrogenation process is the Bergius process. In this process, the coal is finely ground and dried in a stream of hot gas. The dry product is mixed with heavy oil recycled from the process and a catalyst is typically added to the mixture. Usually, iron sulphides present in the coal may have sufficient catalytic activity for the process. The mixture is then pumped into a reactor and the reaction occurs between 400 to 500 °C and 20 to 70 MPa hydrogen pressure. The reaction produces heavy oils, middle oils, gasoline, and gases.;;;;;;;;;;;;;;;;;;;x;;;;
steamer_shipyard_desc;증기선을 실현 가능하게 한 핵심 혁신은 추진력을 얻는 수단이 외륜에서 스크류 추진기로 변화한 것입니다. 증기엔진은 기계 하단에 공급되는 동력으로 설계되며, 이는 선체를 통해 선미관으로 전달되는 프로펠러 축으로 곧바로 전달하기 위함입니다. 스크류 추진의 동력기이 축을 따라 전달되기 때문에 과도한 마찰 없이 하중을 전달하려면 추진력을 가진 베어링이 필요합니다.;The key innovation that made steamers viable is the change from the paddle-wheel to the screw-propeller for propulsion. Steam engines are designed with the power delivered at the bottom of the machinery, to give direct drive to the propeller shaft, where it passes to the stern tube through the hull. Since the motive power of screw propulsion is delivered along the shaft, a thrust bearing is needed to transfer that load without excessive friction.;;;;;;;;;;;;;;;;;;;x;;;;
clipper_shipyard_desc;쾌속 범선은 세개의 돛대와 네모난 선구를 가진 빠른 선박입니다. 일반적으로 길이가 좁고 제한적인 대량 화물만을 운반할 수 있으며, 돛의 총면적이 넓습니다. 속도에 최적화되어 있으며 너무 정교해서 많은 화물을 운반할 수는 없습니다. 쾌속 범선들은 보통 돛대나 가로돛과 같은 다루는데 추가적인 손이 필요한 여분의 돛을 선체나 마당에서 뻗어나오는 돌출부 위에 얹어서 사용했습니다.;Clippers are fast vessels with three masts and a square rig. They are generally narrow for their length, can carry limited bulk freight and have a large total sail area. Optimized for speed, they are too fine-lined to carry much cargo. Clippers typically carry extra sails such as skysails and moonrakers on the masts and studdingsails on booms extending out from the hull or yards, which required extra hands to handle them.;;;;;;;;;;;;;;;;;;;x;;;;
luxury_clothes_factory_desc;금빛 실로 뒤덮인 옷, 비단으로 만든 수제 사각형 스카프처럼 최고급 비단 한 조각으로 만든 옷은 달빛 또는 베네치아 석호의 물빛 반사를 암시하는 색조의 반복적인 색채를 활용해 획득한 독특한 색상이 특징입니다. 곡선미가 있는 S자형으로 굽은 외형을 가진 옷이 여성 패션을 지배했고, 코르셋은 엉덩이를 뒤로 밀어내는 허리 부분을 단단히 묶었습니다. 남성들은 몸에 꼭 맞는 종아리 길이 프록코트와 조끼를 입었습니다. 조끼는 가슴 부위의 단추(보통 하나 또는 둘), 숄, V모양 깃이 달려있었으며, 모자도 딸려 있었습니다.;Garment made of a single piece of the finest silk, its unique color acquired by repeated immersions in dyes whose shades were suggestive of moonlight or of the watery reflections of the Venetian lagoons, clothing embroiled with gold threads, handmade printed silk square scarves. The curvaceous S-Bend silhouette dominated fashion for women, the corset tightly laced at the waist which forced the hips back. Men wore tight-fitting, calf length frock coats and a waistcoat or vest. The vests were single - or double-breasted, with shawl or notched collars and accompanied by a crane or a hat.;;;;;;;;;;;;;;;;;;;x;;;;
luxury_furniture_factory_desc;어둡거나 금박을 입힌 나무와 무늬가 많은 천, 복잡한 금장식, 비단으로 만든 방석과 직물. 이들은 모두 세상의 가구를 만들 때 쓰이는 가장 훌륭하거나 이국적인 목재입니다. 고급 가구 설계자들은 고딕, 튜더, 엘리자베스 시대, 영국식 로코코, 신고전주의 등 역사상의 다양한 시대에서 가져온 많은 양식들을 사용하고 수정합니다. 이 시기에는 고딕 양식과 로코코 부활 양식이 가구에서 볼 수 있는 가장 흔한 양식이었으며, 가구, 가봉, 내부 경관에서 중동과 아시아의 영향을 받았습니다.;Dark or gilded carved wood and richly patterned fabrics, intricate gold ornaments, cushions and fabric made out of silk, the finest or most exotic wood in the world used in furniture. Luxury furniture designers use and modify many styles taken from various time periods in history like Gothic, Tudor, Elizabethan, English Rococo, Neoclassical and others. The Gothic and Rococo revival style are the most common styles to be seen in furniture during this time in history. Styles are mixed with the introduction of middle east and Asian influences in furniture, fittings, and interior decoration.;;;;;;;;;;;;;;;;;;;x;;;;
steel_factory;제철소;;;;;;;;;;;;;;;;;x;;;;
steel_factory_desc;강철은 철 및 기타 요소(주로 탄소)로 이루어진 합금으로, 건설 및 기타 용도에 쓰입니다. 철은 광석에서 용해될 때 바람직한 한도보다 많은 탄소를 함유합니다. 때문에 강철이 되려면 탄소를 올바른 양으로 줄이는 재처리 과정을 거쳐야 하며, 이때 다른 요소를 추가할 수도 있습니다. 강철 제련소는 생철을 주괴로 주조하고, 이 주괴는 더욱 정교해질 때까지 축적됩니다. 그런 다음 강철 주괴는 구덩이에 푹 담궈져 가열되고 뜨거운 압연을 받아 평판 등으로 펴집니다. 이러한 금속들은 판금, 판, 막대, 선 및 구조화된 강철로 바뀝니다.;Steel is an alloy of iron and other elements, primarily carbon, used in construction and other applications. When iron is smelted from its ore it contains more carbon than is desirable. To become steel, it must be reprocessed to reduce the carbon to the correct amount, at which point other elements can be added. Steel mills cast the raw iron into ingots which are stored until further refinement processes. The steel ingots are then heated in a soaking pit and hot rolled into slabs, blooms, or billets. Those are rolled into sheet metal, plates, bars, rods, wires and structural steel, such as I-beams and rails.;;;;;;;;;;;;;;;;;x;;;;
artillery_factory_desc;포 생산의 첫 단계는 대포, 박격포 또는 곡사포의 정확한 모형을 만드는 것입니다. 이러한 모형은 길이 243~365센티미터에 지름이 원래에 비해 60센티미터 정도 작은 폭이 점점 작아지는 목재 축을 사용해 만들어집니다. 그런 다음 축들을 목재 회전판 위에 놓고 윤활유나 비누로 덮으면 모형을 거푸집에서 분리할 때 도움이 됩니다. 이 때 내부 표면에 펼쳐진 잿물 등의 혼합물이 표면을 뒤덮어 거푸집 안의 녹은 금속이 거푸집 벽면에 달라붙지 못하게 합니다. 그런 다음에는 거푸집을 주형하는 곳으로 가져가서 연마합니다.;The first stage of artillery production is to create an exact model of the gun, mortar, or howitzer. This is built up upon a tapered wooden spindle, from eight to 12 feet in length and about two inches less than the model in diameter. The spindle is then set upon a wooden turning frame and covered with grease or soap to aid in its eventual removal from the mould. A coat of a lye mixture is spread over the interior surface to prevent the molten metal of the casting adhering to the walls of the mould. The mould is then taken to the casting pit to be annealed.;;;;;;;;;;;;;;;;;x;;;;
small_arms_factory_desc;장총, 선조식 장총, 권총, 연발권총, 소총 등 작은 무기를 아우르는 군의 기본 장비입니다. 19세기 중반에 가장 흔한 화기였던 선조식 장총은 한 조각으로 단조한 철로 만들어졌으며, 이 철은 L자형 총의 한쪽 다리에서 확장되는 나사형 소켓의 구성에 맞게 담금질되었습니다. 또한 마모 저항성을 위해 탄소를 혼합했고, 마지막으로 개머리판과 총열을 나무로 마감하는 과정을 거쳤습니다. 오래된 장총이 아닌 이상 선조를 새겼으며, 보통 총검과 꽂을대도 딸려 있었습니다.;The basic equipment of the military, encompassing small arms such as muskets, rifled muskets, pistols, revolvers and rifles. Rifled muskets, the most common firearm in the mid 19th century was wrought in iron, forged as one piece, annealed, and machined to the configuration of a threaded plug extending from one leg of an L-shaped tang. It was carburized for wear resistance, and finished in wood in the stock and barrel bands. Some of them were rifled while old musket models weren't, and they typically came with a bayonet and a ramrod.;;;;;;;;;;;;;;;;;x;;;;
furniture_factory_desc;주민들은 비좁은 방(보통 다락방)에서 살던 하인과 달리 매우 편안한 집에서 삽니다. 19세기에 이르자 역사상 처음으로 가구가 대량 생산되기 시작했습니다. 이러한 현상은 집이 더 싸졌음을 의미했지만 불행히도 설계의 표준은 뒷걸음질쳤습니다. 19세기 초, 숙련된 노동자들은 보통 '관통형 집'에 살았습니다. 즉 일반 대중들이 보통 '다닥다닥 붙여 지은 집'에 살았던 반면 노동자들은 다른 집들과 붙어 있지 않은 집에서 살았습니다. 노동자들의 집들은 3개(또는 가끔 2개)의 방으로 이루어져 있었습니다.;Well off pops live in very comfortable houses, although their servants lived in cramped quarters, often in the attic. During the 19th century, for the first time in history furniture was mass-produced. That meant it was cheaper but unfortunately standards of design fell. In the early 19th century skilled workers usually lived in 'through houses' i.e. ones that were not joined to the backs of other houses while the general populace often lived in 'back-to-backs'. These were houses of three (or sometimes only two) rooms, one of top of the other.;;;;;;;;;;;;;;;;;x;;;;
paper_mill_desc;제지소는 나무 펄프와 같은 식물섬유로 종이를 생산하는 용도로 장망식 초지기를 사용합니다. 초지기는 청동으로 짠 컨베이어 벨트로 구성되어 있으며, 섬유(일반적으로 목재 또는 기타 식물성 섬유)의 슬러리가 배출되어 연속적인 종이 망을 만듭니다. 이후 젖은 상태의 망은 배수실이라고 불리는 수평 배수 영역을 통과하여 용지를 지속적으로 생산합니다. 종이는 책, 신문 그리고 다른 정보수단에 사용됩니다.;The paper mill uses a Fourdrinier machine to make paper from vegetable fibers such as wood pulp. The machine is composed of a conveyor belt woven from bronze in the forming section, where a slurry of fiber (usually wood or other vegetable fibers) is drained to create a continuous paper web. After the forming section the wet web passes through a horizontal drainage area, referred to as the drainage table, thus creating a continuous production of Paper. Paper is used for books, newspapers and other means of information.;;;;;;;;;;;;;;;;;
regular_clothes_factory;의류 공장;;;;;;;;;;;;;;;;;;;x;;;;
regular_clothes_factory_desc;산업 혁명 동안 직물 생산은 수륜과 증기기관으로 움직이는 기계를 사용하도록 기계화되었습니다. 재봉틀이 옷 생산에 혁명을 일으키면서 작은 시골집에서 직접 만들던 직물은 이제 조립라인 조직을 기반으로 한 대량 생산으로 전환되었습니다. 원래 직조기는 나무로 만들어졌고, 천을 통해 아래로 통과하는 가시 돋친 바늘을 사용하여 실을 잡아 당겨서 다음 고리를 통해 짜맞춰지도록 하는 고리를 형성합니다.;During the industrial revolution, fabric production was mechanized with machines powered by waterwheels and steam-engines. Production shifted from small cottage based production to mass production based on assembly line organization, with the sewing machine revolutionized clothes productions. The original machine was made of wood and uses a barbed needle which passes downward through the cloth to grab the thread and pull it up to form a loop to be locked by the next loop.;;;;;;;;;;;;;;;;;
explosives_factory_desc;폭발물 공장에서는 니트로글리세린, 다이너마이트, 흑색화약 등 산업용과 군사용으로 다양한 부품을 생산합니다. 19세기 초 흑색화약은 광물을 채굴하고, 바위를 부수고, 깨끗한 들판을 만들고, 길을 만드는 데 주로 사용된 가공 물질입니다. 다이너마이트의 발명으로, 광산은 더 깊은 곳으로 더 빠르게 팔 수 있었었고, 비경제적이었던 침전물은 결과적으로 수익성이 높아졌습니다. 그러나 여전히 폭발물의 주된 사용처는 폭탄, 화약, 포 등을 사용하는 군수산업이었습니다. 보병, 포병, 공병에게 있어 폭발물과 화약의 사용은 군대의 중심이었습니다.;The explosives factory manufacture a variety of components for industrial and military use like nitroglycerin, dynamite and black powder. In the early 19th century black power was the main fabricated component, used to mine for minerals, break rocks, clear fields and make roads. With the invention of dynamite, mines could be dug deeper and more quickly, and uneconomical deposits thus became profitable. Still, the main use of explosives was in the military industry: bombs, gunpowder, ordnances. For infantry, artillery or sappers, the use of explosives and gunpowder was central in the army.;;;;;;;;;;;;;;;;;
ammunition_factory_desc;19세기 내내 탄약 제조기술로서 형철이 주물보다 선호받았습니다. 형철 과정을 거친 탄환은 실온의 금속을 금형에서 형철함으로써 탄환 모양으로 빚어낸 총알입니다. 또 다른 일반적인 제조 방법은 주물인데, 주형에 부은 녹은 금속을 사용합니다. 주물은 적재물이 무연가루로 바뀐 19세기 후반에 이르러 군용 탄약 제조업체들이 빠르게 탄환 교환 과정을 수정하여 연성 납탄 위에 얇은 금속판을 붙이면서 그 단점이 분명해졌습니다.;Swaging, rather than casting, was the preferred manufacturing technique during the 19th century for ammunition. Swaged bullets are bullets manufactured by swaging room temperature metals into a die to form it into the shape of a bullet. The other common manufacturing method is casting, which uses molten metals poured into a mold. Disadvantages became evident as loadings shifted to smokeless powder in the late 19th century and manufacturers of high-velocity military ammunition modified their bullet swaging process to apply a thin sheet of stronger metal over the soft lead bullet.;;;;;;;;;;;;;;;;;;;x;;;;
canned_food_factory_desc;통조림 개념은 프랑스 발명가 니콜라 아페르의 유리 용기 내 실험적인 식품 보존 작업에 기초합니다. 대부분의 통조림용 깡통을 조립하면 바깥쪽 지름이 깡통의 나머지 부분보다 약간 큰 좁은 "테두리"가 생깁니다. 테두리가 있는 깡통의 평평한 표면은 테두리(깡통의 중간 부분)의 넓이만큼 테두리 가장자리에서 침전됩니다. 림의 내부 직경은 이 움푹 들어간 표면에 인접하며, 나머지 깡통의 내부 직경보다 약간 작습니다. 통조림 식품은 주로 군사 배급에 사용됩니다.;The canning concept is based on experimental food preservation work in glass containers by the French inventor Nicholas Appert. The fabrication of most cans results in at least one "rim", a narrow ring whose outside diameter is slightly larger than that of the rest of the can. The flat surfaces of rimmed cans are recessed from the edge of any rim (toward the middle of the can) by about the width of the rim: the inside diameter of a rim, adjacent to this recessed surface, is slightly smaller than the inside diameter of the rest of the can. Canned food is mainly used for military rations.;;;;;;;;;;;;;;;;;;;x;;;;
dye_factory;합성염료 공장;;;;;;;;;;;;;;;;;;;x;;;;
dye_factory_desc;천연염료는 소량으로만 존재하며 추출이 비효율적이기 때문에 보통 가격이 비쌉니다. 한 발명가가 석탄 타르의 가장 간단한 화학 성분인 화합물(아닐린)을 사용한 실험에서 알코올이 자주색을 추출한다는 것을 발견했습니다. 이 물질은 쉽게 비단을 염색했고, 당시에 쓰이던 어떤 보라색 염료보다도 햇빛에 훨씬 안정적이었습니다. 이후 인공염료는 혼합되어, 반응로에서 합성되고, 불순물을 걸러내고, 건조된 후 혼합됩니다. 그 동안 많은 다른 첨가물, 용매, 화학 화합물이 반응 유발을 위해 사용됩니다.;Natural dye is only present in small amounts and its extraction is often inefficient, so they are usually expensive. In an experiment with a compound called aniline, one of the simplest chemical components of coal tar, one inventor discovered that an alcohol extracted purple color, which readily dyed silk, and was much more stable in sunlight than any other purple dye in use. In the Synthetic Dyeworks dyes are mixed, synthesized in a reactor, filtered for impurities, dried out and then blended. Along the way many other additives, solvents and chemical compounds are used to instigate reactions.;;;;;;;;;;;;;;;;;;;x;;;;
liquor;음료;Beverages;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liquor_distillery;증류소;Bottling Works;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liquor_distillery_desc;The earliest reference to carbonated ginger beer is in a Practical Treatise on Brewing. published in 1809. The drinking of either natural or artificial mineral water was considered at the time to be a healthy practice, and was promoted by advocates of temperance. Pharmacists selling mineral waters began to add herbs and chemicals to unflavored mineral water. They used birch bark, dandelion, sarsaparilla, fruit extracts, and other substances. Flavorings were also added to improve the taste.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
winery_desc;"The wine-making process involves the fermentation of fruit, with natural yeast or not, as well as blending. The malo-lactic conversion happens after, which is a bacterial process which converts ""crisp, green apple"" malic acid to ""soft, creamy"" lactic acid softening the taste of the wine. The wine is sometimes transferred to oak barrels to mature for a period of weeks or months. The wine must be settled or clarified and adjustments made prior to bottling. The process produces wastewater, pomace, and lees that require collection, treatment, and disposal or beneficial use.";;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lumber_mill;제재소;Sawmill;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lumber_mill_desc;At the sawmill, the logs are cut into boards using equipment such as circular saws and bandsaws. This is called conversion. The first stage of conversion is a process called breaking down, which means rough sawing. The second stage is called resawing and refers to more accurate / precise cutting and finishing, such as planing and further machining. The introduction of steam power in the 19th century created many new possibilities for mills, with steam powered sawmills being far more mechanized and scrap lumber from the mill providing a ready fuel source for firing the boiler.;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fabric_factory;직물 공장;Textile Mill;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fabric_factory_desc;Fabric is a tightly woven textile made in a Textile Mill which is, among other things, used to produce sails for ships as well as clothing. With the Cartwright Loom, the Spinning Mule and the Boulton & Watt steam engine, the pieces were in place to build a mechanized textile industry. From this point there were no new inventions, but a continuous improvement in technology as the mill-owner strove to reduce cost and improve quality. Developments in the transport infrastructure facilitated the import of raw materials and export of finished cloth, diminishing costs and increasing profits.;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cement_factory_desc;In 1824 Joseph Aspdin, a British bricklayer turned builder, patented a chemical process for making portland cement which was an important advance in the building trades. This process involves sintering a mixture of clay and limestone to about 1,400°C (2,552°F), then grinding it into a fine powder which is then mixed with water, sand and gravel to produce concrete. Concrete is used to build factories, forts, shipyards, buildings, sewage systems and tunnels. Its use quickly became widespread in civil and military construction.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
glass_factory_desc;A new method of producing glass, known as the cylinder process, was developed in Europe during the early 19th century. In 1832, this process was used by the Chance Brothers to create sheet glass. This advancement allowed for larger panes of glass to be created without interruption, thus freeing up the space planning in interiors as well as the fenestration of buildings. The other glass-making method is glassblowing which produces bottles and other containers. Glass is used for a variety of appliances like bottles, windows, bowls, vases, lamps, jars, vacuum tubes and light bulbs.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fertilizer_factory_desc;In this factory fertilizer is created out of guano, sulphur or bone meal. The most common way to create fertilizer is the BirkelandEyde process. This process was used to fix atmospheric nitrogen (N2) into nitric acid (HNO3), one of several chemical processes generally referred to as nitrogen fixation. The resultant nitric acid was then used as a source of nitrate (NO3-) for the fertilizers. These fertilizers are used to increase the productivity of farms or the chemical components are further refined to make explosives.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MODIFIER_CB_GENERATION_SPEED_MODIFIER;전쟁 정당화 속도;Casus Belli Acquisition Speed;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MODIFIER_MOBILIZATION_IMPACT;동원령 영향;Mobilization Impact;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GREAT_WARS_ENABLED_DESC;세계대전을 발명했습니다.\n;Great Wars are discovered.\n;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GREAT_WARS_DISABLED_DESC;세계대전을 아직 발명하지 않았습니다.\n;Great Wars are undiscovered yet.\n;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_NOT_A_PORT_IN; 항구 없음: ;Do NOT have a port in ;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IN_SOCIAL_MOVEMENT;사회 운동 있음\n;in social movement\n;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOT_IN_SOCIAL_MOVEMENT;사회 운동 없음\n;not in social movement\n;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IN_POLITICAL_MOVEMENT;정치 운동 있음\n;in political movement\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOT_IN_POLITICAL_MOVEMENT;정치 운동 있음\n;not in political movement\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;"x	";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NEUTRALITY_EFFECT;중립국이 되며 모든 동맹을 파기하고 모든 위성국을 해방합니다.;The nation becomes neutral, dissolving all alliances and setting all satellites free.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFLUENCE_CHANGE;§Y$ACTIVE$§W이(가) §Y$PASSIVE$§W에게 영향력을 $MUCH$ 투사합니다.\n;§Y$ACTIVE$§W influence with §Y$PASSIVE$§W changes by $MUCH$.\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
THE_CAPITAL_IS_NOT; 수도 아님: ;The Capital Is Not ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENDGAME_DESC;One hundred momentous years have passed and we have entered the modern age. The world is a radically different place, how did your country do?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIPLOMACY_FILTER_NORTH_AMERICA;북아메리카;North America;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIPLOMACY_FILTER_OCEANIA;근동;Near East;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIPLOMACY_FILTER_OCEANIA_TOOLTIP;[SUB_A7]Y근동[SUB_A7]W 국가만 표시합니다.;List §YNear Eastern§W countries;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
north_america;북아메리카;North America;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oceania;근동;Near East;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
siberian;시베리아 소수문화Siberian Minor;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tanzimat_reforms_enacted;탄지마트 개혁 제정;Tanzimat Reforms Enacted;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
indo_iranian;Indo-Iranian;인도-이란;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yazidi;야지디Yazidi;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yazidi_group;야지디족;Yazidi Group;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_law;이슬람 율법;Islamic Law;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFFECT_CRISIS_INTEREST; $COUNTRY$이(가) 분쟁에 관심을 표명합니다.\n;$COUNTRY$ declares interest in the current crisis\n;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
