;;;;;;;;;;;;;;x,,,
HAS_NO_UNION_TAG; 문화연합 있음;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;x
UNIT_BUILD_TIME_IW;$VAL$일;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ d?s.;;;;;;;;;x;
breton;브르타뉴;Breton;Breton;Bretonisch;;;;;;;;;;;x
occitan;옥시타니아;Occitan;Occitain;Occitanisch;;;;;;;;;;;x
HAS_GOODS;생산물;produces ;;;;;;;;;;;;;x,,,
rags_to_riches;자수성가함;Rags to Riches;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
son_of_hero;영웅의 아들;Hero's Son;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
spoiled;망가짐;Spoiled;G??Verw?nt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
school_of_defense;방어주의 학파;School of Defense;?ole de d?ense;Schule der Verteidigung;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
school_of_offense;공격주의 학파;School of Offense;?ole d'attaque;Schule der Offensive;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
school_of_the_bayonet;총검주의 학파;School of the Bayonet;?ole de la ba?nnette;Schule des Bajonetts;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
school_of_firepower;화력주의 학파;School of Firepower;?ole de la puissance de feu;Schule der Feuerkraft;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
sad_sack;요령 없음;Sad Sack;Rat?Trauriger Sack;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
state_ideologue;이념적임;State Ideologue;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
sucker;얼간이Sucker;Gogo;Trottel;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
sycophant;아첨꾼;Sycophant;Flagorneur;Kriecher;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
toady;알랑쇠;Toady;Flatteur;Schleimer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
turncoat;변절자;Turncoat;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
university_educated;고등교육 이수자;University Educated;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
uncommonly_young;흔치 않게 어림;Uncommonly Young;Singuli?ement jeune;Ungew?nlich jung;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unfit;몸 상태가 안 좋음;Unfit;Inapte;Ungeeignet;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unqualified;자격 미달;Unqualified;Non qualifi?Unqualifiziert;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unfulfilled_potential;잠재력 달성안됨;Unfulfilled Potential;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
warmonger;전쟁광;Warmonger;Belliciste;Kriegstreiber;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
war_college;육군사관학교;War College;?ole militaire;Milit?akademie;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
wounded_veteran;부상 입은 베테랑;Wounded Veteran;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
womanizer;오입쟁이;Womanizer;Coureur de jupons;Sch?zenj?er;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
yesman;고분고분함;Yesman;B?i-oui-oui;Jasager;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
arab_revolt_ended;아랍 반란 종결;Arab Revolt Ended;;;;;;;;;;;;x,,,
newly_released_nation;신생국;Newly-Formed Nation;;;;;;;;;;;;x,,,
crop_rotation;작물 변경;Crop Rotation;;;;;;;;;;;;x,,,
crop_rotation_desc;농작물 변경 관습을 현재 각지의 농장에서 사용하고 있습니다.;The practice of crop rotation is now being used in local farms.;;;;;;;;;;;;x,,,
phosphates;인산염;Phosphates;;;;;;;;;;;;x,,,
phosphates_desc;이 지역의 농토를 비옥하게 만들기 위해 인산염을 사용하고 있습니다.;Phosphates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;x,,,
nitrates;질산염;Nitrates;Nitrates;;;;;;;;;;;;x,,,
nitrates_desc;이 지역의 농토를 비옥하게 만들기 위해 질산염을 사용하고 있습니다.;Nitrates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;x,,,
will_support_entre_rios;엔트레리오스에 지원 약속;Pledged Support to Entre Rios;;;;;;;;;;;;x,,,
shaft_mine;수갱 채굴;Shaft Mining;;;;;;;;;;;;x,,,
shaft_mine_desc;이 지역에서 수갱 채굴 기술을 개발했습니다.;Deep shaft mining has been developed in the province.;;;;;;;;;;;;x,,,
pit_mine;갱 채굴;Pit Mining;;;;;;;;;;;;x,,,
pit_mine_desc;이 지역에서 갱 채굴 기술을 개발했습니다.;Pit mining has been developed in the province.;;;;;;;;;;;;x,,,
strip_mine;노천 채굴;Strip Mining;;;;;;;;;;;;x,,,
strip_mine_desc;이 지역에서 노천 채굴 기술이 개발되었습니다.;Strip mining has been developed in the province.;;;;;;;;;;;;x,,,
tax_reforms;세금개혁;National Tax Reforms;;;;;;;;;;;;x,,,
tax_reforms_desc;세금에 대한 최근의 개혁으로 인해 법률을 폐지하거나 허점이 발견될 때까지 세금 효율이 높아집니다.;Recent reforms to tax laws have increased our tax efficiency?at least until those laws are repealed or loopholes found to evade them.;;;;;;;;;;;;x,,,
intense_farming;집약 농업;Intensive Farming;;;;;;;;;;;;x,,,
intense_farming_desc;이 지역에서는 집약 농업을 도입했습니다. 이는 지력을 고갈시킬 위험이 있지만 농지를 더욱 효율적이고 집중적으로 경작할 수 있습니다.;Plantations have been started in this province to more efficiently and intensively farm it-- even though this comes with a risk of exhausting the farmland.;;;;;;;;;;;;x,,,
exhausted_land;지력 고갈;Exhausted Farmland;;;;;;;;;;;;x,,,
exhausted_land_desc;이 지역의 집약 농업이 토양의 지력을 소진시켰습니다. 지력이 회복될 때까지 생산량은 전보다 상당히 낮을 것입니다.;The intensive farming of this province's farmland has exhausted the soil. Production will be low until the land recovers.;;;;;;;;;;;;x,,,
irrigration_network;관개망;Irrigation Network;;;;;;;;;;;;x,,,
irrigration_network_desc;관개망이 건설되어 사막을 더욱 효과적으로 경작할 수 있게 되었습니다.;An irrigation network has been built here, allowing the desert to be farmed more effectively.;;;;;;;;;;;;x,,
population_trend;인구 성장 추세;Population Growth Trend;;;;;;;;;;;;x,,,
population_trend_desc;최근 인구 증가 추세가 변화하고 있습니다. 당분간은 안정세를 유지할 것으로 보입니다.;Our nation has recently experienced a change in our population growth. It will likely remain stable for some time to come.;;;;;;;;;;;;x,,,
point_five_children;출산율 0.5명;Growth Rate: 0.5 Children;;;;;;;;;;;;x,,,
point_five_children_desc;우리나라의 출산율은 거의 최악입니다. 아이의 수가 성인의 25%에 불과합니다.;Our nation's growth rate is abysmal-- roughly equivalent to one child for every four healthy adults.;;;;;;;;;;;;x,,,
one_child;출산율 어린이 1명;Growth Rate: 1 Child;;;;;;;;;;;;x,,,
one_child_desc;우리나라의 출산율은 거의 매우 낮은 편입니다. 아이의 수가 성인의 50%에 불과합니다.;Our nation's growth rate is very low-- roughly equivalent to one child for every two healthy adults.;;;;;;;;;;;;x,,,
one_point_five_children;출산율 1.5명;Growth Rate: 1.5 Children;;;;;;;;;;;;x,,,
one_point_five_children_desc;우리나라의 출산율은 낮은 편입니다. 아이의 수가 성인의 75%에 불과합니다.;Our nation's growth rate is low-- roughly equivalent to three children for every four healthy adults.;;;;;;;;;;;;x,,,
two_children;출산율 2명;Growth Rate: 2 Children;;;;;;;;;;;;x,,,
two_children_desc;우리나라의 출산율은 괜찮은 편입니다. 아이의 수가 성인과 맞먹습니다.;Our nation's growth rate is stable-- roughly equivalent to two children for every two healthy adults.;;;;;;;;;;;;x,,,
two_point_five_children;출산률: 2.5명;Growth Rate: 2.5 Children;;;;;;;;;;;;x,,,
two_point_five_children_desc;우리나라의 출산율은 평균치보다 높습니다. 아이의 수가 성인의 125%에 다다릅니다.;Our nation's growth rate is above average-- roughly equivalent to five children for every four healthy adults.;;;;;;;;;;;;x,,,
three_children;출산율 3명;Growth Rate: 3 Children;;;;;;;;;;;;x,,,
three_children_desc;우리나라의 출산율은 높습니다. 아이의 수가 성인의 150%에 다다릅니다.;Our nation's growth rate is high-- roughly equivalent to three children for every two healthy adults.;;;;;;;;;;;;x,,,
four_children;출산율 4명;Growth Rate: 4 Children;;;;;;;;;;;;x,,,
four_children_desc;우리나라의 출산율은 매우 높습니다. 아이의 수가 성인의 200%에 다다릅니다.;Our nation's growth rate is very high-- roughly equivalent to four children for every two healthy adults.;;;;;;;;;;;;x,,,
bleeding;출혈 상태;Bleeding State;;;;;;;;;;;;x,,,
bleeding_desc;노예제 폐지파와 찬성파 사이에 끼어있는 이 주는 지역 폭력의 진통을 겪고 있습니다.;Caught between the forces of abolitionism and those supporting slavery, this state is in the throes of violence as the locals attempt to sway the entire populace one way or the other.;;;;;;;;;;;;x,,
submarine;잠수함;Submarine;;;;;;;;;;;;x,,,
